"env","cor"
"19CS",0.870183094346083
"19TA",0.841531921885151
"20CS",0.807674040982288
"20LY",0.820936746075739
"19CS",0.870183094346083
"19TA",0.841531921885151
"20CS",0.807674040982288
"20LY",0.820936746075739
"19CS",0.870183094346083
"19TA",0.841531921885151
"20CS",0.807674040982288
"20LY",0.820936746075739
"19CS",0.870183094346083
"19TA",0.841531921885151
"20CS",0.807674040982288
"20LY",0.820936746075739
"19CS",0.870183094346083
"19TA",0.841531921885151
"20CS",0.807674040982288
"20LY",0.820936746075739
