"env","cor"
"19CS",0.902291572594121
"19TA",0.791372358567602
"20CS",0.878121686014699
"20LY",0.843105556893645
"19CS",0.902291572594121
"19TA",0.791372358567602
"20CS",0.878121686014699
"20LY",0.843105556893645
"19CS",0.902291572594121
"19TA",0.791372358567602
"20CS",0.878121686014699
"20LY",0.843105556893645
"19CS",0.902291572594121
"19TA",0.791372358567602
"20CS",0.878121686014699
"20LY",0.843105556893645
"19CS",0.902291572594121
"19TA",0.791372358567602
"20CS",0.878121686014699
"20LY",0.843105556893645
