"env","cor"
"19CS",0.234276998195627
"19TA",0.431030506144284
"20CS",0.505370320201226
"20LY",0.5373444156819
"19CS",0.226983471830196
"19TA",0.346934855748749
"20CS",0.256624718632851
"20LY",0.446992893752891
"19CS",0.268292634378336
"19TA",0.386931674542781
"20CS",0.356759866151511
"20LY",0.541939307732659
"19CS",0.0579516843909835
"19TA",0.23665310678829
"20CS",0.21034725788176
"20LY",0.514596118989388
"19CS",0.223063661886577
"19TA",0.328553541180835
"20CS",0.33419576955454
"20LY",0.466481746313654
