"env","cor"
"19CS",0.946368431647427
"19TA",0.893400143727202
"20CS",0.923170983696191
"20LY",0.899829523544818
"19CS",0.946368431647427
"19TA",0.893400143727202
"20CS",0.923170983696191
"20LY",0.899829523544818
"19CS",0.946368431647427
"19TA",0.893400143727202
"20CS",0.923170983696191
"20LY",0.899829523544818
"19CS",0.946368431647427
"19TA",0.893400143727202
"20CS",0.923170983696191
"20LY",0.899829523544818
"19CS",0.946368431647427
"19TA",0.893400143727202
"20CS",0.923170983696191
"20LY",0.899829523544818
