"env","cor"
"19CS",0.613968270727968
"19TA",0.6565303642822
"20CS",0.764602968462235
"20LY",0.527219203222793
"19CS",0.692462746191851
"19TA",0.547359010508288
"20CS",0.721331502584962
"20LY",0.688880200034896
"19CS",0.562138900781445
"19TA",0.602857613738134
"20CS",0.772398239971896
"20LY",0.667247563352544
"19CS",0.601930049406391
"19TA",0.65300958743848
"20CS",0.751244957017533
"20LY",0.57108863157906
"19CS",0.640951185715219
"19TA",0.579273800682306
"20CS",0.81200356653518
"20LY",0.610983482347817
