"env","cor"
"19CS",0.559007853637633
"19TA",0.626195551890848
"20CS",0.74775902531281
"20LY",0.692387909294316
"19CS",0.517505294199117
"19TA",0.562990841205868
"20CS",0.79801556593649
"20LY",0.708667600935101
"19CS",0.571468106110962
"19TA",0.463541455417848
"20CS",0.731632805178537
"20LY",0.635818546107851
"19CS",0.610604563797453
"19TA",0.483721617041877
"20CS",0.754963395140251
"20LY",0.725580026802964
"19CS",0.593916157791858
"19TA",0.281706210595594
"20CS",0.766947265937784
"20LY",0.675802678987213
