"env","cor"
"19CS",0.476778781514368
"19TA",0.611168865846538
"20CS",0.498079306318146
"20LY",0.721491511039442
"19CS",0.622265469628032
"19TA",0.685412337675798
"20CS",0.541564436765089
"20LY",0.594382160325576
"19CS",0.6576733978492
"19TA",0.689161470978784
"20CS",0.537724242674862
"20LY",0.683522376351946
"19CS",0.515924644097932
"19TA",0.546627445563513
"20CS",0.607901211613526
"20LY",0.687228076566316
"19CS",0.574204253700986
"19TA",0.642102479395504
"20CS",0.490296136500871
"20LY",0.69997716222779
