"env","cor"
"19CS",0.715239875338411
"19TA",0.672338973139918
"20CS",0.719715908522822
"20LY",0.716462764161841
"19CS",0.715239875338411
"19TA",0.672338973139918
"20CS",0.719715908522822
"20LY",0.716462764161841
"19CS",0.715239875338411
"19TA",0.672338973139918
"20CS",0.719715908522822
"20LY",0.716462764161841
"19CS",0.715239875338411
"19TA",0.672338973139918
"20CS",0.719715908522822
"20LY",0.716462764161841
"19CS",0.715239875338411
"19TA",0.672338973139918
"20CS",0.719715908522822
"20LY",0.716462764161841
