"env","cor"
"19CS",0.606043095355618
"19TA",0.693073114389571
"20CS",0.729609129184422
"20LY",0.69486686112438
"19CS",0.495814698129474
"19TA",0.618322357849117
"20CS",0.743232068496175
"20LY",0.718222823446923
"19CS",0.535805464164052
"19TA",0.501466578173996
"20CS",0.768500699665997
"20LY",0.690662659648819
"19CS",0.572753604261559
"19TA",0.689139983277242
"20CS",0.697428299701685
"20LY",0.578656814197754
"19CS",0.58445764640835
"19TA",0.577567230389587
"20CS",0.707912413486859
"20LY",0.604166648299246
