"env","cor"
"19CS",0.800656220298693
"19TA",0.836709245558665
"20CS",0.755804729250163
"20LY",0.803135555456305
"19CS",0.800656220298693
"19TA",0.836709245558665
"20CS",0.755804729250163
"20LY",0.803135555456305
"19CS",0.800656220298693
"19TA",0.836709245558665
"20CS",0.755804729250163
"20LY",0.803135555456305
"19CS",0.800656220298693
"19TA",0.836709245558665
"20CS",0.755804729250163
"20LY",0.803135555456305
"19CS",0.800656220298693
"19TA",0.836709245558665
"20CS",0.755804729250163
"20LY",0.803135555456305
