"env","cor"
"19CS",0.550377956222469
"19TA",0.447459459500235
"20CS",0.651126654571684
"20LY",0.181667594501991
"19CS",0.550377956222469
"19TA",0.447459459500235
"20CS",0.651126654571684
"20LY",0.181667594501991
"19CS",0.550377956222469
"19TA",0.447459459500235
"20CS",0.651126654571684
"20LY",0.181667594501991
"19CS",0.550377956222469
"19TA",0.447459459500235
"20CS",0.651126654571684
"20LY",0.181667594501991
"19CS",0.550377956222469
"19TA",0.447459459500235
"20CS",0.651126654571684
"20LY",0.181667594501991
