"env","cor"
"19CS",0.701683302421287
"19TA",0.650980871980573
"20CS",0.807759737047196
"20LY",0.525284396197046
"19CS",0.701683302421287
"19TA",0.650980871980573
"20CS",0.807759737047196
"20LY",0.525284396197046
"19CS",0.701683302421287
"19TA",0.650980871980573
"20CS",0.807759737047196
"20LY",0.525284396197046
"19CS",0.701683302421287
"19TA",0.650980871980573
"20CS",0.807759737047196
"20LY",0.525284396197046
"19CS",0.701683302421287
"19TA",0.650980871980573
"20CS",0.807759737047196
"20LY",0.525284396197046
