"env","cor"
"19CS",0.750443410518112
"19TA",0.621824209025778
"20CS",0.783984288827973
"20LY",0.619431559482123
"19CS",0.750443410518112
"19TA",0.621824209025778
"20CS",0.783984288827973
"20LY",0.619431559482123
"19CS",0.750443410518112
"19TA",0.621824209025778
"20CS",0.783984288827973
"20LY",0.619431559482123
"19CS",0.750443410518112
"19TA",0.621824209025778
"20CS",0.783984288827973
"20LY",0.619431559482123
"19CS",0.750443410518112
"19TA",0.621824209025778
"20CS",0.783984288827973
"20LY",0.619431559482123
