"env","cor"
"19CS",0.870441889090101
"19TA",0.792866990438398
"20CS",0.918975381180556
"20LY",0.82079547181863
"19CS",0.872576604226237
"19TA",0.779998976513301
"20CS",0.921250251189595
"20LY",0.759719632585095
"19CS",0.880063557805328
"19TA",0.793937037027321
"20CS",0.902438775568688
"20LY",0.821753279254369
"19CS",0.878749442758627
"19TA",0.710144673812459
"20CS",0.909475747269397
"20LY",0.83983113587701
"19CS",0.850006619629778
"19TA",0.697993073548251
"20CS",0.895284882539391
"20LY",0.807985305398636
