"env","cor"
"19CS",0.372842587815662
"19TA",0.515587044062036
"20CS",0.43210121082814
"20LY",0.476384110089158
"19CS",0.372842587815662
"19TA",0.515587044062036
"20CS",0.43210121082814
"20LY",0.476384110089158
"19CS",0.372842587815662
"19TA",0.515587044062036
"20CS",0.43210121082814
"20LY",0.476384110089158
"19CS",0.372842587815662
"19TA",0.515587044062036
"20CS",0.43210121082814
"20LY",0.476384110089158
"19CS",0.372842587815662
"19TA",0.515587044062036
"20CS",0.43210121082814
"20LY",0.476384110089158
