"env","cor"
"19CS",0.787309131207157
"19TA",0.788411036420251
"20CS",0.825819800669748
"20LY",0.657923157884909
"19CS",0.669953733949922
"19TA",0.73078481829826
"20CS",0.793254002691464
"20LY",0.69113030582342
"19CS",0.803543284084004
"19TA",0.805706202095564
"20CS",0.845064187508573
"20LY",0.697103571528822
"19CS",0.639014469720958
"19TA",0.735083716898824
"20CS",0.706889075161867
"20LY",0.692255237440583
"19CS",0.728648571937917
"19TA",0.827609336656073
"20CS",0.742487163733165
"20LY",0.631241413470409
