"env","cor"
"19CS",0.824673978515811
"19TA",0.879814444850235
"20CS",0.759090837260009
"20LY",0.644002487527925
"19CS",0.824673978515811
"19TA",0.879814444850235
"20CS",0.759090837260009
"20LY",0.644002487527925
"19CS",0.824673978515811
"19TA",0.879814444850235
"20CS",0.759090837260009
"20LY",0.644002487527925
"19CS",0.824673978515811
"19TA",0.879814444850235
"20CS",0.759090837260009
"20LY",0.644002487527925
"19CS",0.824673978515811
"19TA",0.879814444850235
"20CS",0.759090837260009
"20LY",0.644002487527925
