"env","cor"
"19CS",0.494157096470452
"19TA",0.356252244196348
"20CS",0.536388106721597
"20LY",0.673447539667243
"19CS",0.494157096470452
"19TA",0.356252244196348
"20CS",0.536388106721597
"20LY",0.673447539667243
"19CS",0.494157096470452
"19TA",0.356252244196348
"20CS",0.536388106721597
"20LY",0.673447539667243
"19CS",0.494157096470452
"19TA",0.356252244196348
"20CS",0.536388106721597
"20LY",0.673447539667243
"19CS",0.494157096470452
"19TA",0.356252244196348
"20CS",0.536388106721597
"20LY",0.673447539667243
