"env","cor"
"19CS",0.824345291292076
"19TA",0.814024824342415
"20CS",0.668374264773439
"20LY",0.661910754801768
"19CS",0.704043229838739
"19TA",0.700309913542365
"20CS",0.710384253306711
"20LY",0.753382055709279
"19CS",0.743516823993425
"19TA",0.737930226841114
"20CS",0.675028268159986
"20LY",0.753813363097105
"19CS",0.732074947815187
"19TA",0.848251290722764
"20CS",0.691778269828505
"20LY",0.770707886450511
"19CS",0.793702437798646
"19TA",0.722581952863886
"20CS",0.632884565819936
"20LY",0.762545912882037
