"env","cor"
"19CS",0.60837653478499
"19TA",0.714912769392478
"20CS",0.738034886608368
"20LY",0.709203106401488
"19CS",0.58377722713446
"19TA",0.696470868273096
"20CS",0.785639086270583
"20LY",0.713772609862839
"19CS",0.614976026106423
"19TA",0.490857444907472
"20CS",0.72401948264951
"20LY",0.671879474903216
"19CS",0.627342855476479
"19TA",0.703974591003334
"20CS",0.739597394758535
"20LY",0.812765909371816
"19CS",0.64568764384759
"19TA",0.408459596780254
"20CS",0.731592831360824
"20LY",0.793819987837495
