"env","cor"
"19CS",0.509297795668137
"19TA",0.50167916591881
"20CS",0.590309895899116
"20LY",0.584543773172361
"19CS",0.650655196937647
"19TA",0.604821465066594
"20CS",0.621470118719461
"20LY",0.548886081463061
"19CS",0.591628477805888
"19TA",0.595889945466732
"20CS",0.677343095609757
"20LY",0.588060220717866
"19CS",0.624964085076486
"19TA",0.66665237461358
"20CS",0.580424679283198
"20LY",0.385273355876803
"19CS",0.669161143122434
"19TA",0.547143647637465
"20CS",0.730801788066373
"20LY",0.633625314671733
