"env","cor"
"19CS",0.197156842734392
"19TA",0.437532054555462
"20CS",0.384500396029642
"20LY",0.222986890356536
"19CS",0.322220757427055
"19TA",0.575446553374388
"20CS",0.440751455949302
"20LY",0.504505061095128
"19CS",0.200045895961316
"19TA",0.533627858601387
"20CS",0.290484707866492
"20LY",0.190296742105503
"19CS",0.295456031819934
"19TA",0.523649091609616
"20CS",0.391059612264585
"20LY",0.338487820752623
"19CS",0.27495424566854
"19TA",0.459386367921803
"20CS",0.432187459380004
"20LY",0.207403826592296
