"env","cor"
"19CS",0.267147606116863
"19TA",0.29408765659327
"20CS",0.523299059355168
"20LY",0.354328072399206
"19CS",0.442530235163785
"19TA",0.638538499115696
"20CS",0.604287107321188
"20LY",0.297692677052481
"19CS",0.307868739782396
"19TA",0.466903564272322
"20CS",0.516993612659467
"20LY",0.487329710465437
"19CS",0.46170631374092
"19TA",0.438285559560742
"20CS",0.524502121731696
"20LY",0.287843760229177
"19CS",0.168877258075708
"19TA",0.589816612971979
"20CS",0.586463530156994
"20LY",0.31439982596211
