"env","cor"
"19CS",0.587556909523249
"19TA",0.504995786519224
"20CS",0.679105579340934
"20LY",0.425459867210675
"19CS",0.611932473963777
"19TA",0.570401906061446
"20CS",0.662805365256831
"20LY",0.482012608290913
"19CS",0.64762426620943
"19TA",0.509594547818348
"20CS",0.676123624698305
"20LY",0.43704048744905
"19CS",0.620341143518188
"19TA",0.595231006580925
"20CS",0.68704632304672
"20LY",0.527790040975475
"19CS",0.678858018841847
"19TA",0.547699127674017
"20CS",0.660112715024077
"20LY",0.543060545830427
