"env","cor"
"19CS",0.802948161825015
"19TA",0.851513768192296
"20CS",0.780963819358856
"20LY",0.713252321724815
"19CS",0.739466029012911
"19TA",0.867586312843187
"20CS",0.718410947434635
"20LY",0.603219420176979
"19CS",0.712602351913126
"19TA",0.836208312013588
"20CS",0.703221369146697
"20LY",0.350111215453864
"19CS",0.782006972795986
"19TA",0.778418310775023
"20CS",0.7401609247158
"20LY",0.631644382856017
"19CS",0.83229595946255
"19TA",0.798027625904987
"20CS",0.797671410358507
"20LY",0.758113627581243
