"env","cor"
"19CS",0.492397485811777
"19TA",0.643384082607504
"20CS",0.476307167210098
"20LY",0.357387657087989
"19CS",0.466736091535677
"19TA",0.434661923462225
"20CS",0.420780634757335
"20LY",0.375487733790243
"19CS",0.508386414282383
"19TA",0.28784577643427
"20CS",0.486557186983157
"20LY",0.514915467585905
"19CS",0.575610179197316
"19TA",0.643819002352087
"20CS",0.561852316239339
"20LY",0.320183856181375
"19CS",0.633366173119202
"19TA",0.673667093542757
"20CS",0.639513709288995
"20LY",0.438331299854915
