"env","cor"
"19CS",0.842309696576256
"19TA",0.88843516120758
"20CS",0.862326348752407
"20LY",0.770529377500394
"19CS",0.842309696576256
"19TA",0.88843516120758
"20CS",0.862326348752407
"20LY",0.770529377500394
"19CS",0.842309696576256
"19TA",0.88843516120758
"20CS",0.862326348752407
"20LY",0.770529377500394
"19CS",0.842309696576256
"19TA",0.88843516120758
"20CS",0.862326348752407
"20LY",0.770529377500394
"19CS",0.842309696576256
"19TA",0.88843516120758
"20CS",0.862326348752407
"20LY",0.770529377500394
