"env","cor"
"19CS",0.511981564434357
"19TA",0.361671115658061
"20CS",0.54717208051398
"20LY",0.518751478780497
"19CS",0.511981564434357
"19TA",0.361671115658061
"20CS",0.54717208051398
"20LY",0.518751478780497
"19CS",0.511981564434357
"19TA",0.361671115658061
"20CS",0.54717208051398
"20LY",0.518751478780497
"19CS",0.511981564434357
"19TA",0.361671115658061
"20CS",0.54717208051398
"20LY",0.518751478780497
"19CS",0.511981564434357
"19TA",0.361671115658061
"20CS",0.54717208051398
"20LY",0.518751478780497
