"env","cor"
"19CS",0.707852274963006
"19TA",0.823538603899952
"20CS",0.74689503888804
"20LY",0.491619914660564
"19CS",0.731497012011226
"19TA",0.761538403932202
"20CS",0.702242824936774
"20LY",0.615618845031879
"19CS",0.797318596737259
"19TA",0.833612406281561
"20CS",0.78069801397959
"20LY",0.570590689164533
"19CS",0.75097408069849
"19TA",0.752155873142091
"20CS",0.77002387314166
"20LY",0.674911271103195
"19CS",0.78894829775995
"19TA",0.760153223897055
"20CS",0.764119856167681
"20LY",0.564946712594023
