"env","cor"
"19CS",0.431901297123105
"19TA",0.551714898805003
"20CS",0.503169197145888
"20LY",0.479547582104381
"19CS",0.358489287622263
"19TA",0.427765136349351
"20CS",0.488867094011243
"20LY",0.43854355320515
"19CS",0.479807936364693
"19TA",0.450917099189964
"20CS",0.526907184898755
"20LY",0.653729130486313
"19CS",0.373302456846413
"19TA",0.361639021462964
"20CS",0.414786298672632
"20LY",0.571408197886916
"19CS",0.485293564852291
"19TA",0.299574961874422
"20CS",0.495512859938631
"20LY",0.540727384544006
