"env","cor"
"19CS",0.538617533899277
"19TA",0.529581456642857
"20CS",0.658609193485532
"20LY",0.539088374522774
"19CS",0.538617533899277
"19TA",0.529581456642857
"20CS",0.658609193485532
"20LY",0.539088374522774
"19CS",0.538617533899277
"19TA",0.529581456642857
"20CS",0.658609193485532
"20LY",0.539088374522774
"19CS",0.538617533899277
"19TA",0.529581456642857
"20CS",0.658609193485532
"20LY",0.539088374522774
"19CS",0.538617533899277
"19TA",0.529581456642857
"20CS",0.658609193485532
"20LY",0.539088374522774
