"env","cor"
"19CS",0.759990394196182
"19TA",0.838822901136135
"20CS",0.688511636927542
"20LY",0.696999223823743
"19CS",0.739386162721998
"19TA",0.720823281645387
"20CS",0.664090463904247
"20LY",0.726098815019928
"19CS",0.775170973480154
"19TA",0.610681320285796
"20CS",0.758762550710907
"20LY",0.753037914317783
"19CS",0.740551696960077
"19TA",0.824149499869615
"20CS",0.638016165254939
"20LY",0.769584427520297
"19CS",0.707746006188855
"19TA",0.760309550231694
"20CS",0.666319332774768
"20LY",0.740748318787285
