"env","cor"
"19CS",0.432313730313996
"19TA",0.372279089310032
"20CS",0.302983320801431
"20LY",0.463503196052134
"19CS",0.432313730313996
"19TA",0.372279089310032
"20CS",0.302983320801431
"20LY",0.463503196052134
"19CS",0.432313730313996
"19TA",0.372279089310032
"20CS",0.302983320801431
"20LY",0.463503196052134
"19CS",0.432313730313996
"19TA",0.372279089310032
"20CS",0.302983320801431
"20LY",0.463503196052134
"19CS",0.432313730313996
"19TA",0.372279089310032
"20CS",0.302983320801431
"20LY",0.463503196052134
