"env","cor"
"19CS",0.786070328633073
"19TA",0.746112724685384
"20CS",0.749659691176893
"20LY",0.584569561112814
"19CS",0.660604228250708
"19TA",0.727228953030463
"20CS",0.679410882796521
"20LY",0.695797693076681
"19CS",0.758485349143022
"19TA",0.727068500750918
"20CS",0.623287354838181
"20LY",0.607967645099789
"19CS",0.722192848469179
"19TA",0.675148531175762
"20CS",0.670682479148947
"20LY",0.577197013494244
"19CS",0.69787695325221
"19TA",0.734896787981623
"20CS",0.711027047142077
"20LY",0.759088930451057
