"env","cor"
"19CS",0.736135365491289
"19TA",0.674921808876628
"20CS",0.754930757170176
"20LY",0.70505279806111
"19CS",0.733626851048314
"19TA",0.712607571294718
"20CS",0.640159574703604
"20LY",0.731264326141142
"19CS",0.653734935020429
"19TA",0.745343220724253
"20CS",0.668206347598886
"20LY",0.584735086719725
"19CS",0.786548850306952
"19TA",0.793321494635294
"20CS",0.675524433700466
"20LY",0.792842272868095
"19CS",0.754377931096201
"19TA",0.673159319671299
"20CS",0.691696133045249
"20LY",0.826896054940984
