"env","cor"
"19CS",0.63042084745117
"19TA",0.533782453416957
"20CS",0.61466751695649
"20LY",0.50068822748706
"19CS",0.603277301531118
"19TA",0.472011545362897
"20CS",0.632834939912354
"20LY",0.577100134733533
"19CS",0.537167939491714
"19TA",0.376766378516695
"20CS",0.619764171888469
"20LY",0.454049583378456
"19CS",0.512330584594979
"19TA",0.394809160310223
"20CS",0.661761236352053
"20LY",0.537762219917771
"19CS",0.586522875608643
"19TA",0.497619074931412
"20CS",0.682280816035921
"20LY",0.553838285495714
