"env","cor"
"19CS",0.296817847877929
"19TA",0.0251586771099093
"20CS",0.418137849471809
"20LY",0.27520078970183
"19CS",0.241864546263881
"19TA",0.379360921671034
"20CS",0.482731600193525
"20LY",0.129259048597723
"19CS",0.329421158824835
"19TA",0.524522086673142
"20CS",0.529352238889
"20LY",0.342387361575817
"19CS",0.306808107715886
"19TA",0.245322278829353
"20CS",0.353376167747888
"20LY",0.240590266341489
"19CS",0.260611903933074
"19TA",0.540482996811493
"20CS",0.526604442370169
"20LY",0.330784970760268
