"env","cor"
"19CS",0.366442344644404
"19TA",0.206614192281012
"20CS",0.337108665926948
"20LY",0.269229904469967
"19CS",0.312805632912076
"19TA",0.447415611879314
"20CS",0.48620152784636
"20LY",0.369730672392886
"19CS",0.312230804723734
"19TA",0.594417250751913
"20CS",0.437298549972402
"20LY",0.325845511868042
"19CS",0.208360761308309
"19TA",0.2518875975695
"20CS",0.384867157220717
"20LY",0.218530920317078
"19CS",0.319523401089873
"19TA",0.346176606595212
"20CS",0.335070219942664
"20LY",0.363182987924192
