"env","cor"
"19CS",0.56101063216393
"19TA",0.620138766672962
"20CS",0.554679433475556
"20LY",0.498608068882472
"19CS",0.56101063216393
"19TA",0.620138766672962
"20CS",0.554679433475556
"20LY",0.498608068882472
"19CS",0.56101063216393
"19TA",0.620138766672962
"20CS",0.554679433475556
"20LY",0.498608068882472
"19CS",0.56101063216393
"19TA",0.620138766672962
"20CS",0.554679433475556
"20LY",0.498608068882472
"19CS",0.56101063216393
"19TA",0.620138766672962
"20CS",0.554679433475556
"20LY",0.498608068882472
