"env","cor"
"19CS",0.595561978456476
"19TA",0.41812790724367
"20CS",0.617668608422028
"20LY",0.188878404370636
"19CS",0.538579515383557
"19TA",0.388406897285206
"20CS",0.536938478684279
"20LY",0.52211529040606
"19CS",0.446064364458775
"19TA",0.561613698776028
"20CS",0.559916450856885
"20LY",0.415339454444588
"19CS",0.511616510620878
"19TA",0.616244351906132
"20CS",0.694337727786161
"20LY",0.340100559942844
"19CS",0.566164612820342
"19TA",0.542439873385806
"20CS",0.653777319929088
"20LY",0.370856839501243
