"env","cor"
"19CS",0.553039767980266
"19TA",0.513694705578694
"20CS",0.584112569800157
"20LY",0.630746740804228
"19CS",0.553039767980266
"19TA",0.513694705578694
"20CS",0.584112569800157
"20LY",0.630746740804228
"19CS",0.553039767980266
"19TA",0.513694705578694
"20CS",0.584112569800157
"20LY",0.630746740804228
"19CS",0.553039767980266
"19TA",0.513694705578694
"20CS",0.584112569800157
"20LY",0.630746740804228
"19CS",0.553039767980266
"19TA",0.513694705578694
"20CS",0.584112569800157
"20LY",0.630746740804228
