"env","cor"
"19CS",0.876785633097999
"19TA",0.869721085531246
"20CS",0.908824571976983
"20LY",0.79766281503502
"19CS",0.876785633097999
"19TA",0.869721085531246
"20CS",0.908824571976983
"20LY",0.79766281503502
"19CS",0.876785633097999
"19TA",0.869721085531246
"20CS",0.908824571976983
"20LY",0.79766281503502
"19CS",0.876785633097999
"19TA",0.869721085531246
"20CS",0.908824571976983
"20LY",0.79766281503502
"19CS",0.876785633097999
"19TA",0.869721085531246
"20CS",0.908824571976983
"20LY",0.79766281503502
