"env","cor"
"19CS",0.256616253488667
"19TA",0.402081175919365
"20CS",0.342939313713306
"20LY",0.174024489764239
"19CS",0.121073247744468
"19TA",0.492151158256485
"20CS",0.195119802208427
"20LY",0.348918359044087
"19CS",0.20855794963816
"19TA",0.454171912473879
"20CS",0.245622137582803
"20LY",0.0706502171176159
"19CS",0.204891407799108
"19TA",0.428601091143102
"20CS",0.208803828450955
"20LY",0.125070707210167
"19CS",0.255494810332799
"19TA",0.250687116982216
"20CS",0.20716779044689
"20LY",0.284875191692933
