"env","cor"
"19CS",0.385560241375738
"19TA",0.604395271683207
"20CS",0.304618090598061
"20LY",0.532781965087208
"19CS",0.17394047529761
"19TA",0.504154845237326
"20CS",0.30797202430405
"20LY",0.404113668339074
"19CS",0.441239374817415
"19TA",0.4956898071982
"20CS",0.436930602567971
"20LY",0.275119493289479
"19CS",0.296775341541332
"19TA",0.544453834982009
"20CS",0.398150450804821
"20LY",0.292628633551952
"19CS",0.363884732834512
"19TA",0.60924711195645
"20CS",0.275560528191982
"20LY",0.352853677179622
