"env","cor"
"19CS",0.323718600713871
"19TA",0.494875259547142
"20CS",0.376817206201657
"20LY",0.0611008072016155
"19CS",0.323718600713871
"19TA",0.494875259547142
"20CS",0.376817206201657
"20LY",0.0611008072016155
"19CS",0.323718600713871
"19TA",0.494875259547142
"20CS",0.376817206201657
"20LY",0.0611008072016155
"19CS",0.323718600713871
"19TA",0.494875259547142
"20CS",0.376817206201657
"20LY",0.0611008072016155
"19CS",0.323718600713871
"19TA",0.494875259547142
"20CS",0.376817206201657
"20LY",0.0611008072016155
