"env","cor"
"19CS",0.363614785722949
"19TA",0.392160959671293
"20CS",0.371900261650351
"20LY",0.375806462812341
"19CS",0.264950644030776
"19TA",0.661394466039555
"20CS",0.404398432658737
"20LY",0.521800651710896
"19CS",0.281224321089032
"19TA",0.63024354729399
"20CS",0.432764660668311
"20LY",0.357905738791694
"19CS",0.365699052524408
"19TA",0.62292882088648
"20CS",0.431289476574043
"20LY",0.45173466284335
"19CS",0.240238284701615
"19TA",0.552766043699048
"20CS",0.470145508845835
"20LY",0.190936282841911
