"env","cor"
"19CS",0.356458198208235
"19TA",0.446346431819547
"20CS",0.543521648149531
"20LY",0.193815709850103
"19CS",0.356458198208235
"19TA",0.446346431819547
"20CS",0.543521648149531
"20LY",0.193815709850103
"19CS",0.356458198208235
"19TA",0.446346431819547
"20CS",0.543521648149531
"20LY",0.193815709850103
"19CS",0.356458198208235
"19TA",0.446346431819547
"20CS",0.543521648149531
"20LY",0.193815709850103
"19CS",0.356458198208235
"19TA",0.446346431819547
"20CS",0.543521648149531
"20LY",0.193815709850103
