pedigree,env,gy,ph,dy
A01021,20MA,3609.2388,109.22,63.5
A01046,20MA,2735.1651,96.52,74
A01362,20MA,3923.9671,101.6,69.5
A03017,20MA,4087.1605,111.76,68
A03032,20MA,3453.042,90.17,69.5
A03040,20MA,2831.0301,99.06,69
A03043,20MA,2827.4362,99.06,72.5
A03054,20MA,2721.0234,81.28,68.5
A03055,20MA,2603.1057,92.71,68.5
A03089,20MA,956.6471,86.36,74
A03093,20MA,3841.3953,105.41,68
A03121,20MA,3384.7964,96.52,72.5
A05071,20MA,3312.9756,101.6,68.5
A05210,20MA,3396.9442,118.11,69
A05269,20MA,4268.9292,111.76,69.5
A06035,20MA,3322.0993,88.9,68
A06036,20MA,2031.6994,92.71,70.5
A07118,20MA,3840.1165,95.25,68
A07124,20MA,3659.5318,95.25,68
A08068,20MA,3424.5638,92.71,72.5
A08134,20MA,2964.4743,102.87,68
A08140,20MA,2937.0084,86.36,69
A08158,20MA,3767.0784,118.11,69.5
A11076,20MA,3824.701,96.52,67
A11085,20MA,2114.4222,101.6,68
AHF14,20MA,3202.7073,105.41,70
AKS116,20MA,2191.718,83.82,68
AKS117,20MA,2734.8598,86.36,72
AKS118,20MA,2955.9657,101.6,72.5
AKS119,20MA,2929.7633,109.22,71
AKS120,20MA,2457.3107,102.87,68.5
AN263,20MA,1714.7448,92.71,74
AN268,20MA,2931.8136,82.55,64
AN290,20MA,3570.5657,83.82,71
ATx2921,20MA,2678.7881,107.95,72.5
ATx2923,20MA,3169.8698,96.52,71
ATx2924,20MA,3301.9913,101.6,68.5
ATx2926,20MA,3201.349,105.41,69.5
ATx2927,20MA,4205.2275,111.76,72.5
ATx2930,20MA,3024.547,99.06,68
ATx2931,20MA,3580.0661,92.71,70
ATx2934,20MA,3534.9167,82.55,68
ATx3408,20MA,2763.9749,114.3,74
ATx3409,20MA,2401.7529,99.06,74
ATx644,20MA,2123.1527,102.87,68.5
R01302,20MA,2250.1722,102.87,72.5
R02107,20MA,1541.9811,109.22,72.5
R03248,20MA,4055.8504,88.9,69
R04060,20MA,4758.5553,120.65,71.5
R04104,20MA,4756.2488,107.95,68
R05330,20MA,3166.7892,121.92,74
R05386,20MA,4275.9027,88.9,68
R05393,20MA,1505.8812,95.25,74
R05405,20MA,3580.3352,83.82,68
R05425,20MA,2833.3855,83.82,68.5
R05512,20MA,2600.2118,92.71,71
R07161,20MA,3575.148,127,69.5
R07178,20MA,4107.6144,92.71,68
R08224,20MA,1916.2082,118.11,72.5
R08297,20MA,4220.8146,99.06,68
R08303,20MA,3898.2184,83.82,68
R08304,20MA,4520.5376,111.76,68
R08306,20MA,4409.3749,99.06,68
R11158,20MA,3694.9347,105.41,68
R11208,20MA,3426.4885,80.01,68.5
R12071,20MA,3863.7278,99.06,71
R12145,20MA,3315.1284,105.41,74
R12148,20MA,3809.6957,105.41,72.5
R12154,20MA,3426.8601,99.06,72
R12156,20MA,4199.7046,114.3,74
R12157,20MA,4527.8776,115.57,71
RTx2912,20MA,1116.5181,92.71,74
RTx2913,20MA,3651.2923,121.92,74
RTx2914,20MA,3311.1765,107.95,71
RTx2916,20MA,2625.4683,99.06,74
RTx2917,20MA,4022.144,105.41,68
RTx2918,20MA,4285.3108,105.41,68.5
RTx2919,20MA,3446.9911,95.25,68
RTx2920,20MA,3585.9375,86.36,68
RTx2935,20MA,3806.3518,99.06,68.5
RTx2936,20MA,3131.2505,96.52,71.5
RTx2937,20MA,4008.8942,102.87,68.5
RTx2938,20MA,1039.1611,82.55,75.5
RTx2939,20MA,1735.5131,125.3769,76.2256
RTx2940,20MA,4146.1491,96.52,68.5
RTx2941,20MA,2568.0536,101.6,74
RTx2942,20MA,4362.9415,111.76,67
RTx2943,20MA,3325.8769,115.57,74
RTx2944,20MA,2730.4191,99.06,68
