"","gy","ph","dy"
"1/1",6737.103,118.745,88.25
"A01021/R01302",6737.103,118.745,88.25
"A01021/R02107",5720.416,121.92,88.5
"A01021/R03248",7170.9195,121.92,89
"A01021/R04060",7605.975,123.825,89.5
"A01021/R04104",6588.334,120.65,88.5
"A01021/R05330",6666.7995,127,89
"A01021/R05386",6509.533,112.395,90.25
"A01021/R05393",6556.3525,115.57,90
"A01021/R05405",6441.981,116.205,90.5
"A01021/R05425",6348.349,118.11,88
"A01021/R05512",6228.3535,117.475,91.25
"A01021/R07161",7200.909,128.905,88.75
"A01021/R07178",6965.497,117.475,89.5
"A01021/R08224",6455.8415,130.175,91.25
"A01021/R08297",6217.6465,114.935,90.5
"A01021/R08303",6520.017,107.315,90.75
"A01021/R08304",6775.777,134.62,90.75
"A01021/R08306",6834.1195,113.665,88.5
"A01021/R11158",6785.47,128.27,88.5
"A01021/R11208",6800.2125,110.49,90.75
"A01021/R12071",7480.2395,121.92,86.25
"A01021/R12145",6869.869,120.65,90.75
"A01021/R12148",6473.7445,116.84,90
"A01021/R12154",7116.101,124.46,88.5
"A01021/R12156",6955.4575,119.38,92
"A01021/R12157",6467.4375,123.19,90.75
"A01021/RTx2912",5832.962,119.38,92.5
"A01021/RTx2913",7227.619,130.81,90.25
"A01021/RTx2914",6204.1785,129.54,89.5
"A01021/RTx2916",6263.418,123.19,90.75
"A01021/RTx2917",6381.572,114.935,89.75
"A01021/RTx2918",7033.888,115.57,90.75
"A01021/RTx2919",6391.8845,121.285,91.25
"A01021/RTx2920",6021.269,107.315,88
"A01021/RTx2935",7040.656,116.205,90.75
"A01021/RTx2936",7066.3645,126.365,88.5
"A01021/RTx2937",6397.261,114.3,90.25
"A01021/RTx2938",6647.643,117.475,89.5
"A01021/RTx2939",6781.767,128.27,91.25
"A01021/RTx2940",6642.901,116.205,88.25
"A01021/RTx2941",5233.1375,120.65,93.75
"A01021/RTx2942",7278.0325,123.19,88.5
"A01021/RTx2943",6642.8765,130.175,90.75
"A01021/RTx2944",6101.9565,118.11,87
"A01046/R01302",5855.9885,104.14,90
"A01046/R02107",4839.3015,107.315,90.25
"A01046/R03248",6289.805,107.315,90.75
"A01046/R04060",6724.8605,109.22,91.25
"A01046/R04104",5707.2195,106.045,90.25
"A01046/R05330",5785.685,112.395,90.75
"A01046/R05386",5628.4185,97.79,92
"A01046/R05393",5675.238,100.965,91.75
"A01046/R05405",5560.8665,101.6,92.25
"A01046/R05425",5467.2345,103.505,89.75
"A01046/R05512",5347.239,102.87,93
"A01046/R07161",6319.7945,114.3,90.5
"A01046/R07178",6084.3825,102.87,91.25
"A01046/R08224",5574.727,115.57,93
"A01046/R08297",5336.532,100.33,92.25
"A01046/R08303",5638.9025,92.71,92.5
"A01046/R08304",5894.6625,120.015,92.5
"A01046/R08306",5953.005,99.06,90.25
"A01046/R11158",5904.3555,113.665,90.25
"A01046/R11208",5919.098,95.885,92.5
"A01046/R12071",6599.125,107.315,88
"A01046/R12145",5988.7545,106.045,92.5
"A01046/R12148",5592.63,102.235,91.75
"A01046/R12154",6234.9865,109.855,90.25
"A01046/R12156",6074.343,104.775,93.75
"A01046/R12157",5586.323,108.585,92.5
"A01046/RTx2912",4951.8475,104.775,94.25
"A01046/RTx2913",6346.5045,116.205,92
"A01046/RTx2914",5323.064,114.935,91.25
"A01046/RTx2916",5382.3035,108.585,92.5
"A01046/RTx2917",5500.4575,100.33,91.5
"A01046/RTx2918",6152.7735,100.965,92.5
"A01046/RTx2919",5510.77,106.68,93
"A01046/RTx2920",5140.1545,92.71,89.75
"A01046/RTx2935",6159.5415,101.6,92.5
"A01046/RTx2936",6185.25,111.76,90.25
"A01046/RTx2937",5516.1465,99.695,92
"A01046/RTx2938",5766.5285,102.87,91.25
"A01046/RTx2939",5900.6525,113.665,93
"A01046/RTx2940",5761.7865,101.6,90
"A01046/RTx2941",4352.023,106.045,95.5
"A01046/RTx2942",6396.918,108.585,90.25
"A01046/RTx2943",5761.762,115.57,92.5
"A01046/RTx2944",5220.842,103.505,88.75
"A01362/R01302",5947.5365,107.315,91.5
"A01362/R02107",4930.8495,110.49,91.75
"A01362/R03248",6381.353,110.49,92.25
"A01362/R04060",6816.4085,112.395,92.75
"A01362/R04104",5798.7675,109.22,91.75
"A01362/R05330",5877.233,115.57,92.25
"A01362/R05386",5719.9665,100.965,93.5
"A01362/R05393",5766.786,104.14,93.25
"A01362/R05405",5652.4145,104.775,93.75
"A01362/R05425",5558.7825,106.68,91.25
"A01362/R05512",5438.787,106.045,94.5
"A01362/R07161",6411.3425,117.475,92
"A01362/R07178",6175.9305,106.045,92.75
"A01362/R08224",5666.275,118.745,94.5
"A01362/R08297",5428.08,103.505,93.75
"A01362/R08303",5730.4505,95.885,94
"A01362/R08304",5986.2105,123.19,94
"A01362/R08306",6044.553,102.235,91.75
"A01362/R11158",5995.9035,116.84,91.75
"A01362/R11208",6010.646,99.06,94
"A01362/R12071",6690.673,110.49,89.5
"A01362/R12145",6080.3025,109.22,94
"A01362/R12148",5684.178,105.41,93.25
"A01362/R12154",6326.5345,113.03,91.75
"A01362/R12156",6165.891,107.95,95.25
"A01362/R12157",5677.871,111.76,94
"A01362/RTx2912",5043.3955,107.95,95.75
"A01362/RTx2913",6438.0525,119.38,93.5
"A01362/RTx2914",5414.612,118.11,92.75
"A01362/RTx2916",5473.8515,111.76,94
"A01362/RTx2917",5592.0055,103.505,93
"A01362/RTx2918",6244.3215,104.14,94
"A01362/RTx2919",5602.318,109.855,94.5
"A01362/RTx2920",5231.7025,95.885,91.25
"A01362/RTx2935",6251.0895,104.775,94
"A01362/RTx2936",6276.798,114.935,91.75
"A01362/RTx2937",5607.6945,102.87,93.5
"A01362/RTx2938",5858.0765,106.045,92.75
"A01362/RTx2939",5992.2005,116.84,94.5
"A01362/RTx2940",5853.3345,104.775,91.5
"A01362/RTx2941",4443.571,109.22,97
"A01362/RTx2942",6488.466,111.76,91.75
"A01362/RTx2943",5853.31,118.745,94
"A01362/RTx2944",5312.39,106.68,90.25
"A03017/R01302",5947.9215,112.395,89
"A03017/R02107",4931.2345,115.57,89.25
"A03017/R03248",6381.738,115.57,89.75
"A03017/R04060",6816.7935,117.475,90.25
"A03017/R04104",5799.1525,114.3,89.25
"A03017/R05330",5877.618,120.65,89.75
"A03017/R05386",5720.3515,106.045,91
"A03017/R05393",5767.171,109.22,90.75
"A03017/R05405",5652.7995,109.855,91.25
"A03017/R05425",5559.1675,111.76,88.75
"A03017/R05512",5439.172,111.125,92
"A03017/R07161",6411.7275,122.555,89.5
"A03017/R07178",6176.3155,111.125,90.25
"A03017/R08224",5666.66,123.825,92
"A03017/R08297",5428.465,108.585,91.25
"A03017/R08303",5730.8355,100.965,91.5
"A03017/R08304",5986.5955,128.27,91.5
"A03017/R08306",6044.938,107.315,89.25
"A03017/R11158",5996.2885,121.92,89.25
"A03017/R11208",6011.031,104.14,91.5
"A03017/R12071",6691.058,115.57,87
"A03017/R12145",6080.6875,114.3,91.5
"A03017/R12148",5684.563,110.49,90.75
"A03017/R12154",6326.9195,118.11,89.25
"A03017/R12156",6166.276,113.03,92.75
"A03017/R12157",5678.256,116.84,91.5
"A03017/RTx2912",5043.7805,113.03,93.25
"A03017/RTx2913",6438.4375,124.46,91
"A03017/RTx2914",5414.997,123.19,90.25
"A03017/RTx2916",5474.2365,116.84,91.5
"A03017/RTx2917",5592.3905,108.585,90.5
