"","gy","ph","dy"
"A01021/R01302",2929.7055,106.045,68
"A01021/R02107",2575.60995,109.22,68
"A01021/R03248",3832.5446,99.06,66.25
"A01021/R04060",4183.89705,114.935,67.5
"A01021/R04104",4182.7438,108.585,65.75
"A01021/R05330",3388.014,115.57,68.75
"A01021/R05386",3942.57075,99.06,65.75
"A01021/R05393",2557.56,102.235,68.75
"A01021/R05405",3594.787,96.52,65.75
"A01021/R05425",3221.31215,96.52,66
"A01021/R05512",3104.7253,100.965,67.25
"A01021/R07161",3592.1934,118.11,66.5
"A01021/R07178",3858.4266,100.965,65.75
"A01021/R08224",2762.7235,113.665,68
"A01021/R08297",3915.0267,104.14,65.75
"A01021/R08303",3753.7286,96.52,65.75
"A01021/R08304",4064.8882,110.49,65.75
"A01021/R08306",4009.30685,104.14,65.75
"A01021/R11158",3652.08675,107.315,65.75
"A01021/R11208",3517.86365,94.615,66
"A01021/R12071",3736.4833,104.14,67.25
"A01021/R12145",3462.1836,107.315,68.75
"A01021/R12148",3709.46725,107.315,68
"A01021/R12154",3518.04945,104.14,67.75
"A01021/R12156",3904.4717,111.76,68.75
"A01021/R12157",4068.5582,112.395,67.25
"A01021/RTx2912",2362.87845,100.965,68.75
"A01021/RTx2913",3630.26555,115.57,68.75
"A01021/RTx2914",3460.20765,108.585,67.25
"A01021/RTx2916",3117.35355,104.14,68.75
"A01021/RTx2917",3815.6914,107.315,65.75
"A01021/RTx2918",3947.2748,107.315,66
"A01021/RTx2919",3528.11495,102.235,65.75
"A01021/RTx2920",3597.58815,97.79,65.75
"A01021/RTx2935",3707.7953,104.14,66
"A01021/RTx2936",3370.24465,102.87,67.5
"A01021/RTx2937",3809.0665,106.045,66
"A01021/RTx2938",2324.19995,95.885,69.5
"A01021/RTx2939",2672.37595,117.29845,69.8628
"A01021/RTx2940",3877.69395,102.87,66
"A01021/RTx2941",3088.6462,105.41,68.75
"A01021/RTx2942",3986.09015,110.49,65.25
"A01021/RTx2943",3467.55785,112.395,68.75
"A01021/RTx2944",3169.82895,104.14,65.75
"A01046/R01302",2492.66865,99.695,73.25
"A01046/R02107",2138.5731,102.87,73.25
"A01046/R03248",3395.50775,92.71,71.5
"A01046/R04060",3746.8602,108.585,72.75
"A01046/R04104",3745.70695,102.235,71
"A01046/R05330",2950.97715,109.22,74
"A01046/R05386",3505.5339,92.71,71
"A01046/R05393",2120.52315,95.885,74
"A01046/R05405",3157.75015,90.17,71
"A01046/R05425",2784.2753,90.17,71.25
"A01046/R05512",2667.68845,94.615,72.5
"A01046/R07161",3155.15655,111.76,71.75
"A01046/R07178",3421.38975,94.615,71
"A01046/R08224",2325.68665,107.315,73.25
"A01046/R08297",3477.98985,97.79,71
"A01046/R08303",3316.69175,90.17,71
"A01046/R08304",3627.85135,104.14,71
"A01046/R08306",3572.27,97.79,71
"A01046/R11158",3215.0499,100.965,71
"A01046/R11208",3080.8268,88.265,71.25
"A01046/R12071",3299.44645,97.79,72.5
"A01046/R12145",3025.14675,100.965,74
"A01046/R12148",3272.4304,100.965,73.25
"A01046/R12154",3081.0126,97.79,73
"A01046/R12156",3467.43485,105.41,74
"A01046/R12157",3631.52135,106.045,72.5
"A01046/RTx2912",1925.8416,94.615,74
"A01046/RTx2913",3193.2287,109.22,74
"A01046/RTx2914",3023.1708,102.235,72.5
"A01046/RTx2916",2680.3167,97.79,74
"A01046/RTx2917",3378.65455,100.965,71
"A01046/RTx2918",3510.23795,100.965,71.25
"A01046/RTx2919",3091.0781,95.885,71
"A01046/RTx2920",3160.5513,91.44,71
"A01046/RTx2935",3270.75845,97.79,71.25
"A01046/RTx2936",2933.2078,96.52,72.75
"A01046/RTx2937",3372.02965,99.695,71.25
"A01046/RTx2938",1887.1631,89.535,74.75
"A01046/RTx2939",2235.3391,110.94845,75.1128
"A01046/RTx2940",3440.6571,96.52,71.25
"A01046/RTx2941",2651.60935,99.06,74
"A01046/RTx2942",3549.0533,104.14,70.5
"A01046/RTx2943",3030.521,106.045,74
"A01046/RTx2944",2732.7921,97.79,71
"A01362/R01302",3087.06965,102.235,71
"A01362/R02107",2732.9741,105.41,71
"A01362/R03248",3989.90875,95.25,69.25
"A01362/R04060",4341.2612,111.125,70.5
"A01362/R04104",4340.10795,104.775,68.75
"A01362/R05330",3545.37815,111.76,71.75
"A01362/R05386",4099.9349,95.25,68.75
"A01362/R05393",2714.92415,98.425,71.75
"A01362/R05405",3752.15115,92.71,68.75
"A01362/R05425",3378.6763,92.71,69
"A01362/R05512",3262.08945,97.155,70.25
"A01362/R07161",3749.55755,114.3,69.5
"A01362/R07178",4015.79075,97.155,68.75
"A01362/R08224",2920.08765,109.855,71
"A01362/R08297",4072.39085,100.33,68.75
"A01362/R08303",3911.09275,92.71,68.75
"A01362/R08304",4222.25235,106.68,68.75
"A01362/R08306",4166.671,100.33,68.75
"A01362/R11158",3809.4509,103.505,68.75
"A01362/R11208",3675.2278,90.805,69
"A01362/R12071",3893.84745,100.33,70.25
"A01362/R12145",3619.54775,103.505,71.75
"A01362/R12148",3866.8314,103.505,71
"A01362/R12154",3675.4136,100.33,70.75
"A01362/R12156",4061.83585,107.95,71.75
"A01362/R12157",4225.92235,108.585,70.25
"A01362/RTx2912",2520.2426,97.155,71.75
"A01362/RTx2913",3787.6297,111.76,71.75
"A01362/RTx2914",3617.5718,104.775,70.25
"A01362/RTx2916",3274.7177,100.33,71.75
"A01362/RTx2917",3973.05555,103.505,68.75
"A01362/RTx2918",4104.63895,103.505,69
"A01362/RTx2919",3685.4791,98.425,68.75
"A01362/RTx2920",3754.9523,93.98,68.75
"A01362/RTx2935",3865.15945,100.33,69
"A01362/RTx2936",3527.6088,99.06,70.5
"A01362/RTx2937",3966.43065,102.235,69
"A01362/RTx2938",2481.5641,92.075,72.5
"A01362/RTx2939",2829.7401,113.48845,72.8628
"A01362/RTx2940",4035.0581,99.06,69
"A01362/RTx2941",3246.01035,101.6,71.75
"A01362/RTx2942",4143.4543,106.68,68.25
"A01362/RTx2943",3624.922,108.585,71.75
"A01362/RTx2944",3327.1931,100.33,68.75
"A03017/R01302",3168.66635,107.315,70.25
"A03017/R02107",2814.5708,110.49,70.25
"A03017/R03248",4071.50545,100.33,68.5
"A03017/R04060",4422.8579,116.205,69.75
"A03017/R04104",4421.70465,109.855,68
"A03017/R05330",3626.97485,116.84,71
"A03017/R05386",4181.5316,100.33,68
"A03017/R05393",2796.52085,103.505,71
"A03017/R05405",3833.74785,97.79,68
"A03017/R05425",3460.273,97.79,68.25
"A03017/R05512",3343.68615,102.235,69.5
"A03017/R07161",3831.15425,119.38,68.75
"A03017/R07178",4097.38745,102.235,68
"A03017/R08224",3001.68435,114.935,70.25
"A03017/R08297",4153.98755,105.41,68
"A03017/R08303",3992.68945,97.79,68
"A03017/R08304",4303.84905,111.76,68
"A03017/R08306",4248.2677,105.41,68
"A03017/R11158",3891.0476,108.585,68
"A03017/R11208",3756.8245,95.885,68.25
"A03017/R12071",3975.44415,105.41,69.5
"A03017/R12145",3701.14445,108.585,71
"A03017/R12148",3948.4281,108.585,70.25
"A03017/R12154",3757.0103,105.41,70
"A03017/R12156",4143.43255,113.03,71
"A03017/R12157",4307.51905,113.665,69.5
"A03017/RTx2912",2601.8393,102.235,71
"A03017/RTx2913",3869.2264,116.84,71
"A03017/RTx2914",3699.1685,109.855,69.5
"A03017/RTx2916",3356.3144,105.41,71
"A03017/RTx2917",4054.65225,108.585,68
"A03017/RTx2918",4186.23565,108.585,68.25
"A03017/RTx2919",3767.0758,103.505,68
"A03017/RTx2920",3836.549,99.06,68
"A03017/RTx2935",3946.75615,105.41,68.25
"A03017/RTx2936",3609.2055,104.14,69.75
"A03017/RTx2937",4048.02735,107.315,68.25
"A03017/RTx2938",2563.1608,97.155,71.75
"A03017/RTx2939",2911.3368,118.56845,72.1128
"A03017/RTx2940",4116.6548,104.14,68.25
"A03017/RTx2941",3327.60705,106.68,71
"A03017/RTx2942",4225.051,111.76,67.5
"A03017/RTx2943",3706.5187,113.665,71
"A03017/RTx2944",3408.7898,105.41,68
"A03032/R01302",2851.6071,96.52,71
"A03032/R02107",2497.51155,99.695,71
"A03032/R03248",3754.4462,89.535,69.25
"A03032/R04060",4105.79865,105.41,70.5
"A03032/R04104",4104.6454,99.06,68.75
"A03032/R05330",3309.9156,106.045,71.75
"A03032/R05386",3864.47235,89.535,68.75
"A03032/R05393",2479.4616,92.71,71.75
"A03032/R05405",3516.6886,86.995,68.75
"A03032/R05425",3143.21375,86.995,69
"A03032/R05512",3026.6269,91.44,70.25
"A03032/R07161",3514.095,108.585,69.5
"A03032/R07178",3780.3282,91.44,68.75
"A03032/R08224",2684.6251,104.14,71
"A03032/R08297",3836.9283,94.615,68.75
"A03032/R08303",3675.6302,86.995,68.75
"A03032/R08304",3986.7898,100.965,68.75
"A03032/R08306",3931.20845,94.615,68.75
