"","pedigree","female","male","env","blue","gy_mid_parent","ph_mid_parent","dy_mid_parent"
"1","A01021/R01302","A01021","R01302","19CS",76.5,2929.7055,106.045,68
"2","A01021/R02107","A01021","R02107","19CS",74,2575.60995,109.22,68
"10","A01021/R05425","A01021","R05425","19CS",76,3221.31215,96.52,66
"13","A01021/R07178","A01021","R07178","19CS",78,3858.4266,100.965,65.75
"19","A01021/R11158","A01021","R11158","19CS",75,3652.08675,107.315,65.75
"22","A01021/R12145","A01021","R12145","19CS",77,3462.1836,107.315,68.75
"31","A01021/RTx2917","A01021","RTx2917","19CS",77,3815.6914,107.315,65.75
"35","A01021/RTx2935","A01021","RTx2935","19CS",79,3707.7953,104.14,66
"43","A01021/RTx2943","A01021","RTx2943","19CS",76,3467.55785,112.395,68.75
"49","A01046/R04104","A01046","R04104","19CS",79,3745.70695,102.235,71
"51","A01046/R05386","A01046","R05386","19CS",78,3505.5339,92.71,71
"55","A01046/R05512","A01046","R05512","19CS",79,2667.68845,94.615,72.5
"64","A01046/R11208","A01046","R11208","19CS",75.5,3080.8268,88.265,71.25
"69","A01046/R12156","A01046","R12156","19CS",79,3467.43485,105.41,74
"73","A01046/RTx2914","A01046","RTx2914","19CS",78.5,3023.1708,102.235,72.5
"79","A01046/RTx2935","A01046","RTx2935","19CS",78.5,3270.75845,97.79,71.25
"92","A01362/R04060","A01362","R04060","19CS",79,4341.2612,111.125,70.5
"94","A01362/R05330","A01362","R05330","19CS",80,3545.37815,111.76,71.75
"99","A01362/R05512","A01362","R05512","19CS",82,3262.08945,97.155,70.25
"101","A01362/R07178","A01362","R07178","19CS",82,4015.79075,97.155,68.75
"105","A01362/R08304","A01362","R08304","19CS",80,4222.25235,106.68,68.75
"110","A01362/R12145","A01362","R12145","19CS",82,3619.54775,103.505,71.75
"115","A01362/RTx2912","A01362","RTx2912","19CS",85,2520.2426,97.155,71.75
"117","A01362/RTx2914","A01362","RTx2914","19CS",80,3617.5718,104.775,70.25
"121","A01362/RTx2919","A01362","RTx2919","19CS",80.5,3685.4791,98.425,68.75
"125","A01362/RTx2937","A01362","RTx2937","19CS",81,3966.43065,102.235,69
"131","A01362/RTx2943","A01362","RTx2943","19CS",81,3624.922,108.585,71.75
"136","A03017/R04060","A03017","R04060","19CS",79,4422.8579,116.205,69.75
"137","A03017/R04104","A03017","R04104","19CS",78.5,4421.70465,109.855,68
"164","A03017/RTx2918","A03017","RTx2918","19CS",79,4186.23565,108.585,68.25
"166","A03017/RTx2920","A03017","RTx2920","19CS",77,3836.549,99.06,68
"180","A03032/R04060","A03032","R04060","19CS",82,4105.79865,105.41,70.5
"191","A03032/R08297","A03032","R08297","19CS",80,3836.9283,94.615,68.75
"204","A03032/RTx2913","A03032","RTx2913","19CS",79.5,3552.16715,106.045,71.75
"208","A03032/RTx2918","A03032","RTx2918","19CS",82,3869.1764,97.79,69
"218","A03032/RTx2942","A03032","RTx2942","19CS",80,3907.99175,100.965,68.25
"219","A03032/RTx2943","A03032","RTx2943","19CS",81,3389.45945,102.87,71.75
"223","A03040/R03248","A03040","R03248","19CS",73.5,3443.44025,93.98,69
"225","A03040/R04104","A03040","R04104","19CS",78.5,3793.63945,103.505,68.5
"228","A03040/R05393","A03040","R05393","19CS",76.5,2168.45565,97.155,71.5
"233","A03040/R07178","A03040","R07178","19CS",79.5,3469.32225,95.885,68.5
"238","A03040/R08306","A03040","R08306","19CS",76,3620.2025,99.06,68.5
"241","A03040/R12071","A03040","R12071","19CS",76.5,3347.37895,99.06,70
"244","A03040/R12154","A03040","R12154","19CS",78,3128.9451,99.06,70.5
"248","A03040/RTx2913","A03040","RTx2913","19CS",78,3241.1612,110.49,71.5
"251","A03040/RTx2917","A03040","RTx2917","19CS",77.5,3426.58705,102.235,68.5
"260","A03040/RTx2940","A03040","RTx2940","19CS",80.5,3488.5896,97.79,68.75
"262","A03040/RTx2942","A03040","RTx2942","19CS",78,3596.9858,105.41,68
"265","A03043/R01302","A03043","R01302","19CS",81.5,2538.8042,100.965,72.5
"269","A03043/R04104","A03043","R04104","19CS",80.5,3791.8425,103.505,70.25
"270","A03043/R05330","A03043","R05330","19CS",83,2997.1127,110.49,73.25
"271","A03043/R05386","A03043","R05386","19CS",81.5,3551.66945,93.98,70.25
"274","A03043/R05425","A03043","R05425","19CS",82,2830.41085,91.44,70.5
"279","A03043/R08297","A03043","R08297","19CS",81,3524.1254,99.06,70.25
"281","A03043/R08304","A03043","R08304","19CS",80.5,3673.9869,105.41,70.25
"287","A03043/R12148","A03043","R12148","19CS",82.5,3318.56595,102.235,72.5
"292","A03043/RTx2913","A03043","RTx2913","19CS",82.5,3239.36425,110.49,73.25
"298","A03043/RTx2920","A03043","RTx2920","19CS",78.5,3206.68685,92.71,70.25
"304","A03043/RTx2940","A03043","RTx2940","19CS",83,3486.79265,97.79,70.5
"309","A03054/R01302","A03054","R01302","19CS",79.5,2485.5978,92.075,70.5
"317","A03054/R05405","A03054","R05405","19CS",78,3150.6793,82.55,68.25
"320","A03054/R07161","A03054","R07161","19CS",79.5,3148.0857,104.14,69
"333","A03054/R12156","A03054","R12156","19CS",82.5,3460.364,97.79,71.25
"340","A03054/RTx2918","A03054","RTx2918","19CS",77.5,3503.1671,93.345,68.5
"344","A03054/RTx2936","A03054","RTx2936","19CS",80.5,2926.13695,88.9,70
"348","A03054/RTx2940","A03054","RTx2940","19CS",79,3433.58625,88.9,68.5
"349","A03054/RTx2941","A03054","RTx2941","19CS",80,2644.5385,91.44,71.25
"357","A03055/R04104","A03055","R04104","19CS",80.5,3679.67725,100.33,68.25
"358","A03055/R05330","A03055","R05330","19CS",80,2884.94745,107.315,71.25
"364","A03055/R07161","A03055","R07161","19CS",83,3089.12685,109.855,69
"367","A03055/R08297","A03055","R08297","19CS",79.5,3411.96015,95.885,68.25
"375","A03055/R12148","A03055","R12148","19CS",81.5,3206.4007,99.06,70.5
"384","A03055/RTx2918","A03055","RTx2918","19CS",77.5,3444.20825,99.06,68.5
"388","A03055/RTx2936","A03055","RTx2936","19CS",79,2867.1781,94.615,70
"394","A03055/RTx2942","A03055","RTx2942","19CS",79,3483.0236,102.235,67.75
"395","A03055/RTx2943","A03055","RTx2943","19CS",82,2964.4913,104.14,71.25
"396","A03055/RTx2944","A03055","RTx2944","19CS",76,2666.7624,95.885,68.25
"401","A03089/R04104","A03089","R04104","19CS",83,2856.44795,97.155,71
"404","A03089/R05393","A03089","R05393","19CS",82,1231.26415,90.805,74
"410","A03089/R08224","A03089","R08224","19CS",86.5,1436.42765,102.235,73.25
"422","A03089/R12157","A03089","R12157","19CS",82.5,2742.26235,100.965,72.5
"425","A03089/RTx2914","A03089","RTx2914","19CS",81.5,2133.9118,97.155,72.5
"427","A03089/RTx2917","A03089","RTx2917","19CS",81.5,2489.39555,95.885,71
"442","A03093/R02107","A03093","R02107","19CS",79.5,2691.6882,107.315,70.25
"447","A03093/R05386","A03093","R05386","19CS",79.5,4058.649,97.155,68
"449","A03093/R05405","A03093","R05405","19CS",79,3710.86525,94.615,68
"453","A03093/R07178","A03093","R07178","19CS",81.5,3974.50485,99.06,68
"455","A03093/R08297","A03093","R08297","19CS",79.5,4031.10495,102.235,68
"463","A03093/R12148","A03093","R12148","19CS",80,3825.5455,105.41,70.25
"468","A03093/RTx2913","A03093","RTx2913","19CS",80,3746.3438,113.665,71
"471","A03093/RTx2917","A03093","RTx2917","19CS",82,3931.76965,105.41,68
"474","A03093/RTx2920","A03093","RTx2920","19CS",75.5,3713.6664,95.885,68
"480","A03093/RTx2940","A03093","RTx2940","19CS",74.5,3993.7722,100.965,68.25
"484","A03093/RTx2944","A03093","RTx2944","19CS",76.5,3285.9072,102.235,68
"486","A03121/R02107","A03121","R02107","19CS",76,2463.38875,102.87,72.5
"490","A03121/R05330","A03121","R05330","19CS",80.5,3275.7928,109.22,73.25
"494","A03121/R05425","A03121","R05425","19CS",81.5,3109.09095,90.17,70.5
"497","A03121/R07178","A03121","R07178","19CS",80,3746.2054,94.615,70.25
"498","A03121/R08224","A03121","R08224","19CS",85.5,2650.5023,107.315,72.5
"500","A03121/R08303","A03121","R08303","19CS",80.5,3641.5074,90.17,70.25
"510","A03121/R12157","A03121","R12157","19CS",82,3956.337,106.045,71.75
"512","A03121/RTx2913","A03121","RTx2913","19CS",82,3518.04435,109.22,73.25
"517","A03121/RTx2919","A03121","RTx2919","19CS",82,3415.89375,95.885,70.25
"519","A03121/RTx2935","A03121","RTx2935","19CS",79,3595.5741,97.79,70.5
"528","A03121/RTx2944","A03121","RTx2944","19CS",76.5,3057.60775,97.79,70.25
"530","A05071/R02107","A05071","R02107","19CS",78.5,2427.47835,105.41,70.5
"532","A05071/R04060","A05071","R04060","19CS",83,4035.76545,111.125,70
"534","A05071/R05330","A05071","R05330","19CS",81,3239.8824,111.76,71.25
"537","A05071/R05405","A05071","R05405","19CS",79.5,3446.6554,92.71,68.25
"538","A05071/R05425","A05071","R05425","19CS",78,3073.18055,92.71,68.5
"543","A05071/R08297","A05071","R08297","19CS",78.5,3766.8951,100.33,68.25
"547","A05071/R11158","A05071","R11158","19CS",77.5,3503.95515,103.505,68.25
"552","A05071/R12154","A05071","R12154","19CS",80,3369.91785,100.33,70.25
"558","A05071/RTx2916","A05071","RTx2916","19CS",79.5,2969.22195,100.33,71.25
"560","A05071/RTx2918","A05071","RTx2918","19CS",78.5,3799.1432,103.505,68.5
"564","A05071/RTx2936","A05071","RTx2936","19CS",78,3222.11305,99.06,70
"570","A05071/RTx2942","A05071","RTx2942","19CS",77,3837.95855,106.68,67.75
"575","A05210/R03248","A05210","R03248","19CS",79.5,3726.3973,103.505,69
"578","A05210/R05330","A05210","R05330","19CS",81,3281.8667,120.015,71.5
"581","A05210/R05405","A05210","R05405","19CS",78,3488.6397,100.965,68.5
"583","A05210/R05512","A05210","R05512","19CS",80,2998.578,105.41,70
"586","A05210/R08224","A05210","R08224","19CS",83.5,2656.5762,118.11,70.75
"594","A05210/R12145","A05210","R12145","19CS",83.5,3356.0363,111.76,71.5
"596","A05210/R12154","A05210","R12154","19CS",80,3411.90215,108.585,70.5
"598","A05210/R12157","A05210","R12157","19CS",82,3962.4109,116.84,70
"609","A05210/RTx2937","A05210","RTx2937","19CS",79,3702.9192,110.49,68.75
"610","A05210/RTx2938","A05210","RTx2938","19CS",81,2218.05265,100.33,72.25
"615","A05210/RTx2943","A05210","RTx2943","19CS",80,3361.41055,116.84,71.5
"617","A05269/R01302","A05269","R01302","19CS",81.5,3259.5507,107.315,71
"622","A05269/R05330","A05269","R05330","19CS",80.5,3717.8592,116.84,71.75
"628","A05269/R07161","A05269","R07161","19CS",80.5,3922.0386,119.38,69.5
"632","A05269/R08303","A05269","R08303","19CS",79.5,4083.5738,97.79,68.75
