pedigree,female,male,env,blue
A01021/R01302,A01021,R01302,19CS,144.78
A01021/R02107,A01021,R02107,19CS,152.4
A01021/R05425,A01021,R05425,19CS,181.61
A01021/R07178,A01021,R07178,19CS,147.32
A01021/R11158,A01021,R11158,19CS,158.75
A01021/R12145,A01021,R12145,19CS,133.35
A01021/RTx2917,A01021,RTx2917,19CS,139.7
A01021/RTx2935,A01021,RTx2935,19CS,144.78
A01021/RTx2943,A01021,RTx2943,19CS,153.67
A01046/R04104,A01046,R04104,19CS,128.27
A01046/R05386,A01046,R05386,19CS,119.38
A01046/R05512,A01046,R05512,19CS,130.81
A01046/R11208,A01046,R11208,19CS,124.46
A01046/R12156,A01046,R12156,19CS,125.73
A01046/RTx2914,A01046,RTx2914,19CS,134.62
A01046/RTx2935,A01046,RTx2935,19CS,134.62
A01362/R04060,A01362,R04060,19CS,133.35
A01362/R05330,A01362,R05330,19CS,148.59
A01362/R05512,A01362,R05512,19CS,139.7
A01362/R07178,A01362,R07178,19CS,127
A01362/R08304,A01362,R08304,19CS,139.7
A01362/R12145,A01362,R12145,19CS,135.89
A01362/RTx2912,A01362,RTx2912,19CS,129.54
A01362/RTx2914,A01362,RTx2914,19CS,137.16
A01362/RTx2919,A01362,RTx2919,19CS,128.27
A01362/RTx2937,A01362,RTx2937,19CS,127
A01362/RTx2943,A01362,RTx2943,19CS,149.86
A03017/R04060,A03017,R04060,19CS,138.43
A03017/R04104,A03017,R04104,19CS,130.81
A03017/RTx2918,A03017,RTx2918,19CS,130.81
A03017/RTx2920,A03017,RTx2920,19CS,129.54
A03032/R04060,A03032,R04060,19CS,120.65
A03032/R08297,A03032,R08297,19CS,111.76
A03032/RTx2913,A03032,RTx2913,19CS,138.43
A03032/RTx2918,A03032,RTx2918,19CS,114.3
A03032/RTx2942,A03032,RTx2942,19CS,127
A03032/RTx2943,A03032,RTx2943,19CS,125.73
A03040/R03248,A03040,R03248,19CS,144.78
A03040/R04104,A03040,R04104,19CS,140.97
A03040/R05393,A03040,R05393,19CS,144.78
A03040/R07178,A03040,R07178,19CS,149.86
A03040/R08306,A03040,R08306,19CS,142.24
A03040/R12071,A03040,R12071,19CS,135.89
A03040/R12154,A03040,R12154,19CS,146.05
A03040/RTx2913,A03040,RTx2913,19CS,158.75
A03040/RTx2917,A03040,RTx2917,19CS,146.05
A03040/RTx2940,A03040,RTx2940,19CS,123.19
A03040/RTx2942,A03040,RTx2942,19CS,142.24
A03043/R01302,A03043,R01302,19CS,137.16
A03043/R04104,A03043,R04104,19CS,132.08
A03043/R05330,A03043,R05330,19CS,135.89
A03043/R05386,A03043,R05386,19CS,127
A03043/R05425,A03043,R05425,19CS,130.81
A03043/R08297,A03043,R08297,19CS,137.16
A03043/R08304,A03043,R08304,19CS,123.19
A03043/R12148,A03043,R12148,19CS,130.81
A03043/RTx2913,A03043,RTx2913,19CS,135.89
A03043/RTx2920,A03043,RTx2920,19CS,123.19
A03043/RTx2940,A03043,RTx2940,19CS,125.73
A03054/R01302,A03054,R01302,19CS,121.92
A03054/R05405,A03054,R05405,19CS,135.89
A03054/R07161,A03054,R07161,19CS,138.43
A03054/R12156,A03054,R12156,19CS,118.11
A03054/RTx2918,A03054,RTx2918,19CS,120.65
A03054/RTx2936,A03054,RTx2936,19CS,130.81
A03054/RTx2940,A03054,RTx2940,19CS,118.11
A03054/RTx2941,A03054,RTx2941,19CS,132.08
A03055/R04104,A03055,R04104,19CS,124.46
A03055/R05330,A03055,R05330,19CS,162.56
A03055/R07161,A03055,R07161,19CS,148.59
A03055/R08297,A03055,R08297,19CS,137.16
A03055/R12148,A03055,R12148,19CS,129.54
A03055/RTx2918,A03055,RTx2918,19CS,148.59
A03055/RTx2936,A03055,RTx2936,19CS,143.51
A03055/RTx2942,A03055,RTx2942,19CS,134.62
A03055/RTx2943,A03055,RTx2943,19CS,144.78
A03055/RTx2944,A03055,RTx2944,19CS,143.51
A03089/R04104,A03089,R04104,19CS,128.27
A03089/R05393,A03089,R05393,19CS,148.59
A03089/R08224,A03089,R08224,19CS,179.07
A03089/R12157,A03089,R12157,19CS,138.43
A03089/RTx2914,A03089,RTx2914,19CS,148.59
A03089/RTx2917,A03089,RTx2917,19CS,130.81
A03093/R02107,A03093,R02107,19CS,129.54
A03093/R05386,A03093,R05386,19CS,130.81
A03093/R05405,A03093,R05405,19CS,153.67
A03093/R07178,A03093,R07178,19CS,133.35
A03093/R08297,A03093,R08297,19CS,129.54
A03093/R12148,A03093,R12148,19CS,143.51
A03093/RTx2913,A03093,RTx2913,19CS,148.59
A03093/RTx2917,A03093,RTx2917,19CS,125.73
