pedigree,female,male,env,blue
A01021/R01302,A01021,R01302,19CS,10.15
A01021/R02107,A01021,R02107,19CS,10.09
A01021/R05425,A01021,R05425,19CS,9.895
A01021/R07178,A01021,R07178,19CS,10.535
A01021/R11158,A01021,R11158,19CS,8.77
A01021/R12145,A01021,R12145,19CS,8.43
A01021/RTx2917,A01021,RTx2917,19CS,10.155
A01021/RTx2935,A01021,RTx2935,19CS,9.255
A01021/RTx2943,A01021,RTx2943,19CS,10.905
A01046/R04104,A01046,R04104,19CS,9.815
A01046/R05386,A01046,R05386,19CS,9.05
A01046/R05512,A01046,R05512,19CS,11.53
A01046/R11208,A01046,R11208,19CS,7.94
A01046/R12156,A01046,R12156,19CS,8.8
A01046/RTx2914,A01046,RTx2914,19CS,9.21
A01046/RTx2935,A01046,RTx2935,19CS,8.615
A01362/R04060,A01362,R04060,19CS,9.215
A01362/R05330,A01362,R05330,19CS,8.59
A01362/R05512,A01362,R05512,19CS,8.58
A01362/R07178,A01362,R07178,19CS,9.25
A01362/R08304,A01362,R08304,19CS,8.15
A01362/R12145,A01362,R12145,19CS,8.61
A01362/RTx2912,A01362,RTx2912,19CS,9.535
A01362/RTx2914,A01362,RTx2914,19CS,9.01
A01362/RTx2919,A01362,RTx2919,19CS,9.465
A01362/RTx2937,A01362,RTx2937,19CS,9.53
A01362/RTx2943,A01362,RTx2943,19CS,9.105
A03017/R04060,A03017,R04060,19CS,11.335
A03017/R04104,A03017,R04104,19CS,10.21
A03017/RTx2918,A03017,RTx2918,19CS,9.525
A03017/RTx2920,A03017,RTx2920,19CS,9.975
A03032/R04060,A03032,R04060,19CS,9.045
A03032/R08297,A03032,R08297,19CS,8.715
A03032/RTx2913,A03032,RTx2913,19CS,8.96
A03032/RTx2918,A03032,RTx2918,19CS,8.505
A03032/RTx2942,A03032,RTx2942,19CS,9.665
A03032/RTx2943,A03032,RTx2943,19CS,8.225
A03040/R03248,A03040,R03248,19CS,9.82
A03040/R04104,A03040,R04104,19CS,7.635
A03040/R05393,A03040,R05393,19CS,9.65
A03040/R07178,A03040,R07178,19CS,9.88
A03040/R08306,A03040,R08306,19CS,9.635
A03040/R12071,A03040,R12071,19CS,10.33
A03040/R12154,A03040,R12154,19CS,10.085
A03040/RTx2913,A03040,RTx2913,19CS,9.555
A03040/RTx2917,A03040,RTx2917,19CS,10.205
A03040/RTx2940,A03040,RTx2940,19CS,10.005
A03040/RTx2942,A03040,RTx2942,19CS,9.3
A03043/R01302,A03043,R01302,19CS,10.235
A03043/R04104,A03043,R04104,19CS,9.815
A03043/R05330,A03043,R05330,19CS,10.41
A03043/R05386,A03043,R05386,19CS,9.6
A03043/R05425,A03043,R05425,19CS,9.9
A03043/R08297,A03043,R08297,19CS,10.995
A03043/R08304,A03043,R08304,19CS,9.6
A03043/R12148,A03043,R12148,19CS,10.065
A03043/RTx2913,A03043,RTx2913,19CS,9.62
A03043/RTx2920,A03043,RTx2920,19CS,9.425
A03043/RTx2940,A03043,RTx2940,19CS,10.24
A03054/R01302,A03054,R01302,19CS,9.615
A03054/R05405,A03054,R05405,19CS,9.355
A03054/R07161,A03054,R07161,19CS,10.14
A03054/R12156,A03054,R12156,19CS,9.52
A03054/RTx2918,A03054,RTx2918,19CS,8.83
A03054/RTx2936,A03054,RTx2936,19CS,8.8
A03054/RTx2940,A03054,RTx2940,19CS,9.045
A03054/RTx2941,A03054,RTx2941,19CS,10.44
A03055/R04104,A03055,R04104,19CS,8.635
A03055/R05330,A03055,R05330,19CS,9.435
A03055/R07161,A03055,R07161,19CS,9.73
A03055/R08297,A03055,R08297,19CS,8.865
A03055/R12148,A03055,R12148,19CS,10.09
A03055/RTx2918,A03055,RTx2918,19CS,8.535
A03055/RTx2936,A03055,RTx2936,19CS,7.995
A03055/RTx2942,A03055,RTx2942,19CS,9.95
A03055/RTx2943,A03055,RTx2943,19CS,8.19
A03055/RTx2944,A03055,RTx2944,19CS,8.615
A03089/R04104,A03089,R04104,19CS,10.64
A03089/R05393,A03089,R05393,19CS,9.365
A03089/R08224,A03089,R08224,19CS,10.45
A03089/R12157,A03089,R12157,19CS,9.28
A03089/RTx2914,A03089,RTx2914,19CS,9.55
A03089/RTx2917,A03089,RTx2917,19CS,9.715
A03093/R02107,A03093,R02107,19CS,9.44
A03093/R05386,A03093,R05386,19CS,10.55
A03093/R05405,A03093,R05405,19CS,9.02
A03093/R07178,A03093,R07178,19CS,9.43
A03093/R08297,A03093,R08297,19CS,9.59
A03093/R12148,A03093,R12148,19CS,11.73
A03093/RTx2913,A03093,RTx2913,19CS,9.925
A03093/RTx2917,A03093,RTx2917,19CS,9.73
A03093/RTx2920,A03093,RTx2920,19CS,9.19
A03093/RTx2940,A03093,RTx2940,19CS,9.175
A03093/RTx2944,A03093,RTx2944,19CS,9.685
A03121/R02107,A03121,R02107,19CS,9.715
A03121/R05330,A03121,R05330,19CS,9.3
A03121/R05425,A03121,R05425,19CS,9.35
A03121/R07178,A03121,R07178,19CS,9.67
A03121/R08224,A03121,R08224,19CS,10.56
A03121/R08303,A03121,R08303,19CS,9.735
A03121/R12157,A03121,R12157,19CS,10.025
A03121/RTx2913,A03121,RTx2913,19CS,9.63
A03121/RTx2919,A03121,RTx2919,19CS,9.675
A03121/RTx2935,A03121,RTx2935,19CS,9.645
A03121/RTx2944,A03121,RTx2944,19CS,10.085
A05071/R02107,A05071,R02107,19CS,10.15
A05071/R04060,A05071,R04060,19CS,10.02
A05071/R05330,A05071,R05330,19CS,9.63
A05071/R05405,A05071,R05405,19CS,10.14
A05071/R05425,A05071,R05425,19CS,9.72
A05071/R08297,A05071,R08297,19CS,9.19
A05071/R11158,A05071,R11158,19CS,9.85
A05071/R12154,A05071,R12154,19CS,10.09
A05071/RTx2916,A05071,RTx2916,19CS,11.175
A05071/RTx2918,A05071,RTx2918,19CS,9.645
A05071/RTx2936,A05071,RTx2936,19CS,9.255
A05071/RTx2942,A05071,RTx2942,19CS,9.46
A05210/R03248,A05210,R03248,19CS,9.29
A05210/R05330,A05210,R05330,19CS,9.645
A05210/R05405,A05210,R05405,19CS,9.18
A05210/R05512,A05210,R05512,19CS,11.92
A05210/R08224,A05210,R08224,19CS,10.725
A05210/R12145,A05210,R12145,19CS,9.82
A05210/R12154,A05210,R12154,19CS,10.05
A05210/R12157,A05210,R12157,19CS,9.82
A05210/RTx2937,A05210,RTx2937,19CS,9.275
A05210/RTx2938,A05210,RTx2938,19CS,9.9
A05210/RTx2943,A05210,RTx2943,19CS,8.68
A05269/R01302,A05269,R01302,19CS,9.53
A05269/R05330,A05269,R05330,19CS,8.38
A05269/R07161,A05269,R07161,19CS,9.905
A05269/R08303,A05269,R08303,19CS,8.55
A05269/R08306,A05269,R08306,19CS,8.875
A05269/R11208,A05269,R11208,19CS,8.195
A05269/R12156,A05269,R12156,19CS,9.295
A05269/RTx2919,A05269,RTx2919,19CS,8.62
A05269/RTx2936,A05269,RTx2936,19CS,9.395
A05269/RTx2943,A05269,RTx2943,19CS,9.565
A05269/RTx2944,A05269,RTx2944,19CS,9.59
A06035/R03248,A06035,R03248,19CS,8.815
A06035/R05330,A06035,R05330,19CS,10.005
A06035/R12154,A06035,R12154,19CS,9.725
A06035/RTx2913,A06035,RTx2913,19CS,10.45
A06035/RTx2917,A06035,RTx2917,19CS,10.3
A06035/RTx2920,A06035,RTx2920,19CS,8.645
A06035/RTx2936,A06035,RTx2936,19CS,9.3
A06035/RTx2943,A06035,RTx2943,19CS,8.915
A06036/R04104,A06036,R04104,19CS,10.325
A06036/R08306,A06036,R08306,19CS,9.835
A06036/R11158,A06036,R11158,19CS,9.805
A06036/R12156,A06036,R12156,19CS,9.74
A06036/RTx2919,A06036,RTx2919,19CS,8.725
A06036/RTx2940,A06036,RTx2940,19CS,8.745
A07118/R07161,A07118,R07161,19CS,10.91
A07118/R08224,A07118,R08224,19CS,10.95
A07118/R08304,A07118,R08304,19CS,9.44
A07118/R12145,A07118,R12145,19CS,9.575
A07118/R12148,A07118,R12148,19CS,10.23
A07118/R12157,A07118,R12157,19CS,10.565
A07118/RTx2919,A07118,RTx2919,19CS,8.95
A07118/RTx2944,A07118,RTx2944,19CS,9.685
A07124/R01302,A07124,R01302,19CS,9.435
A07124/R04060,A07124,R04060,19CS,9.115
A07124/R05330,A07124,R05330,19CS,8.845
A07124/R05425,A07124,R05425,19CS,8.84
A07124/R07178,A07124,R07178,19CS,10.165
A07124/R11158,A07124,R11158,19CS,8.22
A07124/R11208,A07124,R11208,19CS,8.315
A07124/RTx2917,A07124,RTx2917,19CS,10.045
A07124/RTx2919,A07124,RTx2919,19CS,9.73
A07124/RTx2935,A07124,RTx2935,19CS,9.135
A07124/RTx2943,A07124,RTx2943,19CS,10.205
A08068/R03248,A08068,R03248,19CS,8.19
A08068/R07161,A08068,R07161,19CS,10.07
A08068/R11158,A08068,R11158,19CS,9.4
A08068/R12156,A08068,R12156,19CS,9.325
A08068/RTx2919,A08068,RTx2919,19CS,8.175
A08068/RTx2941,A08068,RTx2941,19CS,9.225
A08134/R02107,A08134,R02107,19CS,8.975
A08134/R04060,A08134,R04060,19CS,9.83
A08134/R05405,A08134,R05405,19CS,10.105
A08134/R07178,A08134,R07178,19CS,10.655
A08134/R08297,A08134,R08297,19CS,9.485
A08134/R11158,A08134,R11158,19CS,10.42
A08134/R12148,A08134,R12148,19CS,9.85
A08134/RTx2918,A08134,RTx2918,19CS,8.85
A08134/RTx2936,A08134,RTx2936,19CS,9.94
A08134/RTx2940,A08134,RTx2940,19CS,9.685
A08134/RTx2943,A08134,RTx2943,19CS,9.47
A08140/R04060,A08140,R04060,19CS,9.09
A08140/R04104,A08140,R04104,19CS,9.78
A08140/R05386,A08140,R05386,19CS,8.32
A08140/R07178,A08140,R07178,19CS,9.28
A08140/R08303,A08140,R08303,19CS,7.995
A08140/R12148,A08140,R12148,19CS,9.12
A08140/R12156,A08140,R12156,19CS,8.2
A08140/RTx2942,A08140,RTx2942,19CS,9.105
A08158/R01302,A08158,R01302,19CS,9.71
A08158/R03248,A08158,R03248,19CS,9.93
A08158/R05330,A08158,R05330,19CS,9.57
A08158/R07178,A08158,R07178,19CS,10.685
A08158/R08224,A08158,R08224,19CS,11.28
A08158/R12071,A08158,R12071,19CS,9.585
A08158/R12145,A08158,R12145,19CS,9.795
A08158/R12154,A08158,R12154,19CS,10.73
A08158/RTx2912,A08158,RTx2912,19CS,10.62
A08158/RTx2914,A08158,RTx2914,19CS,11.985
A08158/RTx2917,A08158,RTx2917,19CS,10.515
A08158/RTx2939,A08158,RTx2939,19CS,10.925
A11076/R04060,A11076,R04060,19CS,8.885
A11076/R07178,A11076,R07178,19CS,10.355
A11076/R08297,A11076,R08297,19CS,9.72
A11076/R12148,A11076,R12148,19CS,11.165
A11076/R12154,A11076,R12154,19CS,9.7
A11076/RTx2918,A11076,RTx2918,19CS,8.775
A11076/RTx2938,A11076,RTx2938,19CS,9.555
A11076/RTx2940,A11076,RTx2940,19CS,9.65
A11085/R02107,A11085,R02107,19CS,9.245
A11085/R03248,A11085,R03248,19CS,10.075
A11085/R04104,A11085,R04104,19CS,10.51
A11085/R07178,A11085,R07178,19CS,10.63
A11085/R12148,A11085,R12148,19CS,10.71
A11085/RTx2942,A11085,RTx2942,19CS,10.94
A11085/RTx2944,A11085,RTx2944,19CS,8.845
AHF14/R07161,AHF14,R07161,19CS,9.695
AHF14/RTx2943,AHF14,RTx2943,19CS,7.79
AKS116/R02107,AKS116,R02107,19CS,9.165
AKS116/R08303,AKS116,R08303,19CS,9.945
AKS116/R12154,AKS116,R12154,19CS,8.495
AKS116/RTx2917,AKS116,RTx2917,19CS,8.65
AKS116/RTx2920,AKS116,RTx2920,19CS,9.21
AKS116/RTx2936,AKS116,RTx2936,19CS,10.005
AKS116/RTx2940,AKS116,RTx2940,19CS,10.68
AKS116/RTx2942,AKS116,RTx2942,19CS,9.9
AKS116/RTx2944,AKS116,RTx2944,19CS,9.29
AKS117/R01302,AKS117,R01302,19CS,10.39
AKS117/R12148,AKS117,R12148,19CS,9.905
AKS117/RTx2914,AKS117,RTx2914,19CS,9.89
AKS117/RTx2942,AKS117,RTx2942,19CS,9.44
AKS118/R08303,AKS118,R08303,19CS,9.585
AKS118/R12156,AKS118,R12156,19CS,9.975
AKS118/RTx2912,AKS118,RTx2912,19CS,9.925
AKS118/RTx2916,AKS118,RTx2916,19CS,10.705
AKS118/RTx2918,AKS118,RTx2918,19CS,9.41
AKS118/RTx2935,AKS118,RTx2935,19CS,9.415
AKS118/RTx2943,AKS118,RTx2943,19CS,9.25
AKS119/R01302,AKS119,R01302,19CS,10.195
AKS119/R05386,AKS119,R05386,19CS,9.37
AKS119/R05393,AKS119,R05393,19CS,10.86
AKS119/R05512,AKS119,R05512,19CS,11.62
AKS119/R08304,AKS119,R08304,19CS,9.315
AKS119/RTx2914,AKS119,RTx2914,19CS,10.12
AKS119/RTx2918,AKS119,RTx2918,19CS,9.28
AKS119/RTx2919,AKS119,RTx2919,19CS,9.28
AKS120/R04060,AKS120,R04060,19CS,9.82
AKS120/R05425,AKS120,R05425,19CS,10.905
AKS120/R07161,AKS120,R07161,19CS,10.675
AKS120/R08303,AKS120,R08303,19CS,9.255
AKS120/R08306,AKS120,R08306,19CS,9.17
AKS120/R12071,AKS120,R12071,19CS,9.34
AKS120/RTx2918,AKS120,RTx2918,19CS,9.22
AKS120/RTx2935,AKS120,RTx2935,19CS,9.98
AKS120/RTx2942,AKS120,RTx2942,19CS,9.305
AN263/R08224,AN263,R08224,19CS,11.365
AN263/R11208,AN263,R11208,19CS,9.05
AN263/R12148,AN263,R12148,19CS,9.545
AN263/RTx2935,AN263,RTx2935,19CS,9.2
AN263/RTx2936,AN263,RTx2936,19CS,9.825
AN263/RTx2938,AN263,RTx2938,19CS,10.76
AN268/R11158,AN268,R11158,19CS,9.88
AN268/R12148,AN268,R12148,19CS,10.225
AN268/R12154,AN268,R12154,19CS,11.015
AN290/R02107,AN290,R02107,19CS,9.15
AN290/R03248,AN290,R03248,19CS,8.47
AN290/R05386,AN290,R05386,19CS,8.155
AN290/R07161,AN290,R07161,19CS,9.91
AN290/R12154,AN290,R12154,19CS,8.675
AN290/RTx2917,AN290,RTx2917,19CS,9.275
AN290/RTx2920,AN290,RTx2920,19CS,8.76
AN290/RTx2942,AN290,RTx2942,19CS,9.535
AN290/RTx2943,AN290,RTx2943,19CS,8.175
ATx2921/R01302,ATx2921,R01302,19CS,8.585
ATx2921/R05330,ATx2921,R05330,19CS,8.42
ATx2921/R05405,ATx2921,R05405,19CS,8.205
ATx2921/R07178,ATx2921,R07178,19CS,9.23
ATx2921/R12145,ATx2921,R12145,19CS,8.405
ATx2921/R12157,ATx2921,R12157,19CS,8.75
ATx2921/RTx2914,ATx2921,RTx2914,19CS,8.045
ATx2921/RTx2918,ATx2921,RTx2918,19CS,9.27
ATx2923/R03248,ATx2923,R03248,19CS,8.885
ATx2923/R04104,ATx2923,R04104,19CS,9.245
ATx2923/R05330,ATx2923,R05330,19CS,10.11
ATx2923/R05405,ATx2923,R05405,19CS,9.47
ATx2923/R05425,ATx2923,R05425,19CS,9.12
ATx2923/R08297,ATx2923,R08297,19CS,9.325
ATx2923/R11158,ATx2923,R11158,19CS,8.385
ATx2923/R11208,ATx2923,R11208,19CS,8.83
ATx2923/R12145,ATx2923,R12145,19CS,8.64
ATx2923/RTx2913,ATx2923,RTx2913,19CS,9.045
ATx2923/RTx2917,ATx2923,RTx2917,19CS,10.285
ATx2923/RTx2936,ATx2923,RTx2936,19CS,8.975
ATx2924/R04060,ATx2924,R04060,19CS,10.75
ATx2924/R05386,ATx2924,R05386,19CS,9.78
ATx2924/R05393,ATx2924,R05393,19CS,9.5
ATx2924/R05512,ATx2924,R05512,19CS,10.7
ATx2924/R08224,ATx2924,R08224,19CS,9.55
ATx2924/R11158,ATx2924,R11158,19CS,9.805
ATx2924/R12145,ATx2924,R12145,19CS,9.48
ATx2924/RTx2918,ATx2924,RTx2918,19CS,9.385
ATx2924/RTx2920,ATx2924,RTx2920,19CS,9.245
ATx2924/RTx2936,ATx2924,RTx2936,19CS,10.455
ATx2924/RTx2940,ATx2924,RTx2940,19CS,8.785
ATx2924/RTx2941,ATx2924,RTx2941,19CS,9.975
ATx2926/R01302,ATx2926,R01302,19CS,9.995
ATx2926/R05393,ATx2926,R05393,19CS,9.885
ATx2926/R05405,ATx2926,R05405,19CS,9.62
ATx2926/R07161,ATx2926,R07161,19CS,11.245
ATx2926/R08297,ATx2926,R08297,19CS,9.35
ATx2926/R08304,ATx2926,R08304,19CS,8.99
ATx2926/R12154,ATx2926,R12154,19CS,8.995
ATx2926/RTx2913,ATx2926,RTx2913,19CS,9.68
ATx2926/RTx2917,ATx2926,RTx2917,19CS,10.585
ATx2926/RTx2919,ATx2926,RTx2919,19CS,9.165
ATx2926/RTx2944,ATx2926,RTx2944,19CS,9.66
ATx2927/R12157,ATx2927,R12157,19CS,9.54
ATx2927/RTx2936,ATx2927,RTx2936,19CS,9.735
ATx2927/RTx2937,ATx2927,RTx2937,19CS,9.325
ATx2930/R01302,ATx2930,R01302,19CS,9.705
ATx2930/R02107,ATx2930,R02107,19CS,10.165
ATx2930/R03248,ATx2930,R03248,19CS,10.4
ATx2930/R05393,ATx2930,R05393,19CS,10.4
ATx2930/R05425,ATx2930,R05425,19CS,10.19
ATx2930/R07178,ATx2930,R07178,19CS,10.23
ATx2930/R08303,ATx2930,R08303,19CS,9.58
ATx2930/R11158,ATx2930,R11158,19CS,9.62
ATx2930/R12148,ATx2930,R12148,19CS,10.5
ATx2930/R12154,ATx2930,R12154,19CS,9.525
ATx2930/RTx2920,ATx2930,RTx2920,19CS,9.3
ATx2930/RTx2940,ATx2930,RTx2940,19CS,9.66
ATx2930/RTx2942,ATx2930,RTx2942,19CS,10.025
ATx2931/R01302,ATx2931,R01302,19CS,8.92
ATx2931/R05405,ATx2931,R05405,19CS,8.81
ATx2931/R07161,ATx2931,R07161,19CS,9.25
ATx2931/R08297,ATx2931,R08297,19CS,9.15
ATx2931/R08304,ATx2931,R08304,19CS,8.07
ATx2931/R08306,ATx2931,R08306,19CS,8.92
ATx2931/R11208,ATx2931,R11208,19CS,8.16
ATx2931/RTx2936,ATx2931,RTx2936,19CS,8.78
ATx2931/RTx2940,ATx2931,RTx2940,19CS,7.815
ATx2931/RTx2943,ATx2931,RTx2943,19CS,8.61
ATx2934/R05386,ATx2934,R05386,19CS,8.555
ATx2934/R08297,ATx2934,R08297,19CS,9.935
ATx2934/R11208,ATx2934,R11208,19CS,8.025
ATx2934/R12157,ATx2934,R12157,19CS,9.985
ATx2934/RTx2935,ATx2934,RTx2935,19CS,8.33
