pedigree,female,male,env,blue
A01021/R01302,A01021,R01302,19CS,67.495
A01021/R02107,A01021,R02107,19CS,67.73
A01021/R05425,A01021,R05425,19CS,67.505
A01021/R07178,A01021,R07178,19CS,66.645
A01021/R11158,A01021,R11158,19CS,67.11
A01021/R12145,A01021,R12145,19CS,67.455
A01021/RTx2917,A01021,RTx2917,19CS,67.23
A01021/RTx2935,A01021,RTx2935,19CS,67.415
A01021/RTx2943,A01021,RTx2943,19CS,66.8
A01046/R04104,A01046,R04104,19CS,67.115
A01046/R05386,A01046,R05386,19CS,67.205
A01046/R05512,A01046,R05512,19CS,66.25
A01046/R11208,A01046,R11208,19CS,69.005
A01046/R12156,A01046,R12156,19CS,69.315
A01046/RTx2914,A01046,RTx2914,19CS,67.315
A01046/RTx2935,A01046,RTx2935,19CS,68.41
A01362/R04060,A01362,R04060,19CS,67.22
A01362/R05330,A01362,R05330,19CS,67.805
A01362/R05512,A01362,R05512,19CS,67.025
A01362/R07178,A01362,R07178,19CS,66.74
A01362/R08304,A01362,R08304,19CS,68.155
A01362/R12145,A01362,R12145,19CS,67.51
A01362/RTx2912,A01362,RTx2912,19CS,66.565
A01362/RTx2914,A01362,RTx2914,19CS,66.83
A01362/RTx2919,A01362,RTx2919,19CS,66.79
A01362/RTx2937,A01362,RTx2937,19CS,67.13
A01362/RTx2943,A01362,RTx2943,19CS,67.22
A03017/R04060,A03017,R04060,19CS,66.53
A03017/R04104,A03017,R04104,19CS,66.17
A03017/RTx2918,A03017,RTx2918,19CS,67.195
A03017/RTx2920,A03017,RTx2920,19CS,66.735
A03032/R04060,A03032,R04060,19CS,68.31
A03032/R08297,A03032,R08297,19CS,68.68
A03032/RTx2913,A03032,RTx2913,19CS,67.995
A03032/RTx2918,A03032,RTx2918,19CS,68.035
A03032/RTx2942,A03032,RTx2942,19CS,66.915
A03032/RTx2943,A03032,RTx2943,19CS,68.74
A03040/R03248,A03040,R03248,19CS,66.76
A03040/R04104,A03040,R04104,19CS,67.81
A03040/R05393,A03040,R05393,19CS,66.84
A03040/R07178,A03040,R07178,19CS,66.44
A03040/R08306,A03040,R08306,19CS,66.8
A03040/R12071,A03040,R12071,19CS,66.35
A03040/R12154,A03040,R12154,19CS,66.26
A03040/RTx2913,A03040,RTx2913,19CS,67.135
A03040/RTx2917,A03040,RTx2917,19CS,66.22
A03040/RTx2940,A03040,RTx2940,19CS,67.045
A03040/RTx2942,A03040,RTx2942,19CS,66.965
A03043/R01302,A03043,R01302,19CS,67.38
A03043/R04104,A03043,R04104,19CS,66.735
A03043/R05330,A03043,R05330,19CS,67.405
A03043/R05386,A03043,R05386,19CS,66.395
A03043/R05425,A03043,R05425,19CS,67.12
A03043/R08297,A03043,R08297,19CS,66.21
A03043/R08304,A03043,R08304,19CS,67.69
A03043/R12148,A03043,R12148,19CS,67.3
A03043/RTx2913,A03043,RTx2913,19CS,67.635
