pedigree,female,male,env,blue
A01021/R01302,A01021,R01302,19CS,7531.9794
A01021/R02107,A01021,R02107,19CS,7209.1254
A01021/R05425,A01021,R05425,19CS,7570.1686
A01021/R07178,A01021,R07178,19CS,7569.3339
A01021/R11158,A01021,R11158,19CS,8012.8451
A01021/R12145,A01021,R12145,19CS,7570.8225
A01021/RTx2917,A01021,RTx2917,19CS,7849.6671
A01021/RTx2935,A01021,RTx2935,19CS,6867.7584
A01021/RTx2943,A01021,RTx2943,19CS,9027.6784
A01046/R04104,A01046,R04104,19CS,7082.3753
A01046/R05386,A01046,R05386,19CS,7959.9153
A01046/R05512,A01046,R05512,19CS,7090.348
A01046/R11208,A01046,R11208,19CS,6849.0584
A01046/R12156,A01046,R12156,19CS,7518.022
A01046/RTx2914,A01046,RTx2914,19CS,6041.7978
A01046/RTx2935,A01046,RTx2935,19CS,7575.6322
A01362/R04060,A01362,R04060,19CS,8110.8879
A01362/R05330,A01362,R05330,19CS,6706.2898
A01362/R05512,A01362,R05512,19CS,6059.3281
A01362/R07178,A01362,R07178,19CS,6608.1926
A01362/R08304,A01362,R08304,19CS,8223.1828
A01362/R12145,A01362,R12145,19CS,7404.5395
A01362/RTx2912,A01362,RTx2912,19CS,6796.1259
A01362/RTx2914,A01362,RTx2914,19CS,7723.3031
A01362/RTx2919,A01362,RTx2919,19CS,8630.076
A01362/RTx2937,A01362,RTx2937,19CS,6560.3684
A01362/RTx2943,A01362,RTx2943,19CS,5628.2478
A03017/R04060,A03017,R04060,19CS,6913.9201
A03017/R04104,A03017,R04104,19CS,6626.6593
A03017/RTx2918,A03017,RTx2918,19CS,5966.1151
A03017/RTx2920,A03017,RTx2920,19CS,7497.4115
A03032/R04060,A03032,R04060,19CS,8048.1918
A03032/R08297,A03032,R08297,19CS,6694.125
A03032/RTx2913,A03032,RTx2913,19CS,7295.4547
A03032/RTx2918,A03032,RTx2918,19CS,6607.601
A03032/RTx2942,A03032,RTx2942,19CS,7213.752
A03032/RTx2943,A03032,RTx2943,19CS,7715.4795
A03040/R03248,A03040,R03248,19CS,7690.6934
A03040/R04104,A03040,R04104,19CS,7980.2524
A03040/R05393,A03040,R05393,19CS,7235.5443
A03040/R07178,A03040,R07178,19CS,8448.1377
A03040/R08306,A03040,R08306,19CS,6568.7315
A03040/R12071,A03040,R12071,19CS,8021.1631
A03040/R12154,A03040,R12154,19CS,6106.65
A03040/RTx2913,A03040,RTx2913,19CS,8265.2232
A03040/RTx2917,A03040,RTx2917,19CS,8005.5854
A03040/RTx2940,A03040,RTx2940,19CS,5038.0112
A03040/RTx2942,A03040,RTx2942,19CS,8033.9371
A03043/R01302,A03043,R01302,19CS,7966.4656
A03043/R04104,A03043,R04104,19CS,8323.4202
A03043/R05330,A03043,R05330,19CS,7387.7028
A03043/R05386,A03043,R05386,19CS,7289.9223
A03043/R05425,A03043,R05425,19CS,7163.244
A03043/R08297,A03043,R08297,19CS,7558.8837
A03043/R08304,A03043,R08304,19CS,6515.1399
A03043/R12148,A03043,R12148,19CS,5517.2291
A03043/RTx2913,A03043,RTx2913,19CS,7962.5526
A03043/RTx2920,A03043,RTx2920,19CS,8051.279
A03043/RTx2940,A03043,RTx2940,19CS,4609.264
A03054/R01302,A03054,R01302,19CS,7089.3499
A03054/R05405,A03054,R05405,19CS,7113.0541
A03054/R07161,A03054,R07161,19CS,7913.3785
A03054/R12156,A03054,R12156,19CS,6525.3628
A03054/RTx2918,A03054,RTx2918,19CS,6711.8147
A03054/RTx2936,A03054,RTx2936,19CS,8282.1578
A03054/RTx2940,A03054,RTx2940,19CS,7025.873
A03054/RTx2941,A03054,RTx2941,19CS,8295.117
A03055/R04104,A03055,R04104,19CS,7087.4404
A03055/R05330,A03055,R05330,19CS,6753.2805
A03055/R07161,A03055,R07161,19CS,8908.4036
A03055/R08297,A03055,R08297,19CS,7856.2158
A03055/R12148,A03055,R12148,19CS,6508.4315
A03055/RTx2918,A03055,RTx2918,19CS,8211.062
A03055/RTx2936,A03055,RTx2936,19CS,8573.6421
A03055/RTx2942,A03055,RTx2942,19CS,6276.7508
A03055/RTx2943,A03055,RTx2943,19CS,8532.9609
A03055/RTx2944,A03055,RTx2944,19CS,6777.8633
A03089/R04104,A03089,R04104,19CS,6965.3587
