wave,V1,V2
400,0.754912108,2.64E-68
400.5,0.755903144,1.40E-68
401,0.756868697,7.54E-69
401.5,0.757810203,4.11E-69
402,0.758729114,2.27E-69
402.5,0.75962734,1.27E-69
403,0.760506769,7.13E-70
403.5,0.761369395,4.05E-70
404,0.762216715,2.32E-70
404.5,0.763050292,1.34E-70
405,0.763870785,7.74E-71
405.5,0.764678537,4.52E-71
406,0.765473464,2.66E-71
406.5,0.766255269,1.57E-71
407,0.767023391,9.35E-72
407.5,0.767777519,5.61E-72
408,0.768517374,3.40E-72
408.5,0.769242971,2.07E-72
409,0.769954991,1.27E-72
409.5,0.770654285,7.86E-73
410,0.771341902,4.89E-73
410.5,0.77201928,3.06E-73
411,0.772687935,1.93E-73
411.5,0.773349287,1.21E-73
412,0.774004332,7.69E-74
412.5,0.774654049,4.87E-74
413,0.775298712,3.10E-74
413.5,0.775938494,1.97E-74
414,0.776572876,1.26E-74
414.5,0.777201702,8.04E-75
415,0.777824296,5.16E-75
415.5,0.778440079,3.32E-75
416,0.779048966,2.15E-75
416.5,0.779651007,1.39E-75
417,0.780246217,9.05E-76
417.5,0.780834812,5.91E-76
418,0.78141688,3.87E-76
418.5,0.781992554,2.54E-76
419,0.78256161,1.68E-76
419.5,0.783123519,1.11E-76
420,0.783677774,7.40E-77
420.5,0.784223363,4.95E-77
421,0.784759914,3.33E-77
421.5,0.78528664,2.25E-77
422,0.785802984,1.53E-77
422.5,0.786309421,1.05E-77
423,0.786805802,7.24E-78
423.5,0.787293377,5.03E-78
424,0.787772772,3.50E-78
424.5,0.788245336,2.45E-78
425,0.788712254,1.72E-78
425.5,0.789174788,1.21E-78
426,0.789633898,8.57E-79
426.5,0.790090129,6.06E-79
427,0.790543733,4.28E-79
427.5,0.790994646,3.03E-79
428,0.791442667,2.15E-79
428.5,0.791887361,1.53E-79
429,0.792327625,1.09E-79
429.5,0.792763487,7.77E-80
430,0.79319439,5.57E-80
430.5,0.793620756,4.00E-80
431,0.794042804,2.88E-80
431.5,0.794461408,2.08E-80
432,0.794877455,1.50E-80
432.5,0.795291885,1.08E-80
433,0.795705714,7.83E-81
433.5,0.796119438,5.65E-81
434,0.796533343,4.08E-81
434.5,0.796947259,2.94E-81
435,0.797360737,2.12E-81
435.5,0.797772774,1.53E-81
436,0.798182213,1.10E-81
436.5,0.798587878,7.97E-82
437,0.798988931,5.78E-82
437.5,0.799384313,4.21E-82
438,0.799773848,3.08E-82
438.5,0.80015731,2.26E-82
439,0.800535171,1.67E-82
439.5,0.800907784,1.23E-82
440,0.801276067,9.14E-83
440.5,0.801640704,6.80E-83
441,0.802002339,5.07E-83
441.5,0.802361483,3.78E-83
442,0.802718192,2.82E-83
442.5,0.803072564,2.11E-83
443,0.803424142,1.58E-83
443.5,0.803772781,1.19E-83
444,0.804118063,8.94E-84
444.5,0.804459298,6.74E-84
445,0.804796446,5.10E-84
445.5,0.805128984,3.87E-84
446,0.805456689,2.95E-84
446.5,0.805779436,2.26E-84
447,0.80609715,1.73E-84
447.5,0.806409854,1.33E-84
448,0.806717315,1.03E-84
448.5,0.807020024,7.99E-85
449,0.807317728,6.23E-85
449.5,0.807610729,4.87E-85
450,0.807899529,3.81E-85
450.5,0.808184346,3.00E-85
451,0.808465501,2.37E-85
451.5,0.808743542,1.87E-85
452,0.809018912,1.48E-85
452.5,0.809291824,1.17E-85
453,0.809562858,9.32E-86
453.5,0.809832027,7.41E-86
454,0.810099377,5.90E-86
454.5,0.810365091,4.70E-86
455,0.810629058,3.75E-86
455.5,0.810891344,2.99E-86
456,0.811151364,2.39E-86
456.5,0.811409212,1.92E-86
457,0.811664631,1.54E-86
457.5,0.811917407,1.24E-86
458,0.812167503,9.96E-87
458.5,0.812414807,8.04E-87
459,0.81265922,6.51E-87
459.5,0.812901167,5.27E-87
460,0.813140692,4.28E-87
460.5,0.813377861,3.48E-87
461,0.813613019,2.84E-87
461.5,0.813846248,2.32E-87
462,0.814078058,1.89E-87
462.5,0.81430853,1.55E-87
463,0.814537615,1.26E-87
463.5,0.814765632,1.03E-87
464,0.814992374,8.48E-88
464.5,0.815217969,6.95E-88
465,0.81544206,5.70E-88
465.5,0.815664399,4.69E-88
466,0.815884753,3.86E-88
466.5,0.816103008,3.18E-88
467,0.816318695,2.63E-88
467.5,0.816531686,2.17E-88
468,0.816742073,1.80E-88
468.5,0.816949718,1.50E-88
469,0.81715466,1.25E-88
469.5,0.817357201,1.04E-88
470,0.817557614,8.72E-89
470.5,0.817756376,7.30E-89
471,0.81795348,6.12E-89
471.5,0.818149059,5.13E-89
472,0.818343567,4.31E-89
472.5,0.818536822,3.62E-89
473,0.81872888,3.05E-89
473.5,0.818919705,2.57E-89
474,0.819109169,2.16E-89
474.5,0.819297017,1.83E-89
475,0.819483246,1.54E-89
475.5,0.819667862,1.31E-89
476,0.819850635,1.11E-89
476.5,0.820031989,9.39E-90
477,0.820211609,7.97E-90
477.5,0.820389868,6.78E-90
478,0.820566804,5.77E-90
478.5,0.820742534,4.92E-90
479,0.820917305,4.19E-90
479.5,0.821091032,3.58E-90
480,0.821264007,3.06E-90
480.5,0.821436149,2.61E-90
481,0.821607551,2.23E-90
481.5,0.821777947,1.91E-90
482,0.821947611,1.63E-90
482.5,0.822116048,1.40E-90
483,0.822283328,1.20E-90
483.5,0.822449147,1.03E-90
484,0.822613336,8.85E-91
484.5,0.822775393,7.62E-91
485,0.82293538,6.57E-91
485.5,0.823092983,5.68E-91
486,0.82324826,4.92E-91
486.5,0.823401101,4.27E-91
487,0.823551682,3.72E-91
487.5,0.823700011,3.24E-91
488,0.823846502,2.83E-91
488.5,0.823991118,2.47E-91
489,0.824134304,2.16E-91
489.5,0.824276247,1.89E-91
490,0.824417168,1.66E-91
490.5,0.824557279,1.46E-91
491,0.824696749,1.28E-91
491.5,0.824835762,1.12E-91
492,0.824974606,9.86E-92
492.5,0.825113319,8.66E-92
493,0.825251891,7.61E-92
493.5,0.82539065,6.68E-92
494,0.825529552,5.86E-92
494.5,0.825668624,5.14E-92
495,0.825808069,4.51E-92
495.5,0.825947667,3.96E-92
496,0.826087605,3.47E-92
496.5,0.826227775,3.04E-92
497,0.826368363,2.66E-92
497.5,0.826509064,2.33E-92
498,0.826650094,2.04E-92
498.5,0.826791535,1.78E-92
499,0.82693323,1.56E-92
499.5,0.827075397,1.36E-92
500,0.827218232,1.19E-92
500.5,0.827361764,1.04E-92
501,0.827505956,9.05E-93
501.5,0.827651216,7.88E-93
502,0.827797573,6.85E-93
502.5,0.827944906,5.96E-93
503,0.828093542,5.17E-93
503.5,0.828243431,4.48E-93
504,0.82839451,3.88E-93
504.5,0.828547022,3.35E-93
505,0.828700683,2.89E-93
505.5,0.828855591,2.49E-93
506,0.829011651,2.14E-93
506.5,0.82916884,1.84E-93
507,0.829326837,1.58E-93
507.5,0.829485775,1.36E-93
508,0.829645543,1.16E-93
508.5,0.829806019,9.98E-94
509,0.829967235,8.54E-94
509.5,0.830129293,7.30E-94
510,0.830292035,6.23E-94
510.5,0.830455547,5.32E-94
511,0.830619955,4.54E-94
511.5,0.830785342,3.86E-94
512,0.83095171,3.29E-94
512.5,0.831119015,2.79E-94
513,0.831287459,2.37E-94
513.5,0.83145692,2.01E-94
514,0.831627405,1.70E-94
514.5,0.831798895,1.44E-94
515,0.83197126,1.21E-94
515.5,0.832144517,1.02E-94
516,0.832318504,8.64E-95
516.5,0.832493249,7.28E-95
517,0.832668661,6.12E-95
517.5,0.832844679,5.15E-95
518,0.833021272,4.33E-95
518.5,0.833198394,3.63E-95
519,0.833376059,3.05E-95
519.5,0.833554028,2.56E-95
520,0.83373248,2.14E-95
520.5,0.833911205,1.79E-95
521,0.834090104,1.50E-95
521.5,0.834269024,1.26E-95
522,0.834447899,1.05E-95
522.5,0.834626527,8.80E-96
523,0.834804891,7.37E-96
523.5,0.834982703,6.17E-96
524,0.835159833,5.17E-96
524.5,0.835336161,4.33E-96
525,0.835511749,3.63E-96
525.5,0.835686287,3.05E-96
526,0.835860038,2.56E-96
526.5,0.836032627,2.15E-96
527,0.836204314,1.81E-96
527.5,0.836374909,1.52E-96
528,0.836544454,1.28E-96
528.5,0.836712848,1.08E-96
529,0.836880072,9.15E-97
529.5,0.837046083,7.74E-97
530,0.837210723,6.55E-97
530.5,0.837373868,5.55E-97
531,0.837535584,4.71E-97
531.5,0.837695642,4.00E-97
532,0.837853939,3.40E-97
532.5,0.838010298,2.90E-97
533,0.838164622,2.48E-97
533.5,0.838316812,2.12E-97
534,0.838466733,1.82E-97
534.5,0.838614227,1.57E-97
535,0.838759292,1.35E-97
535.5,0.838901832,1.17E-97
536,0.83904177,1.01E-97
536.5,0.839179103,8.77E-98
537,0.839313848,7.63E-98
537.5,0.839446026,6.66E-98
538,0.839575557,5.83E-98
538.5,0.839702534,5.11E-98
539,0.839826869,4.50E-98
539.5,0.839948656,3.97E-98
540,0.840067834,3.51E-98
540.5,0.840184317,3.11E-98
541,0.840298106,2.76E-98
541.5,0.840409194,2.46E-98
542,0.840517431,2.20E-98
542.5,0.840622854,1.97E-98
543,0.840725355,1.77E-98
543.5,0.84082492,1.60E-98
544,0.840921386,1.45E-98
544.5,0.841014806,1.31E-98
545,0.841105026,1.19E-98
545.5,0.841192027,1.09E-98
546,0.841275632,1.00E-98
546.5,0.841355954,9.19E-99
547,0.841432819,8.48E-99
547.5,0.841506304,7.86E-99
548,0.841576344,7.30E-99
548.5,0.841642933,6.81E-99
549,0.841706185,6.38E-99
549.5,0.841766012,5.99E-99
550,0.84182257,5.64E-99
550.5,0.841875771,5.34E-99
551,0.841925657,5.07E-99
551.5,0.841972221,4.82E-99
552,0.842015483,4.61E-99
552.5,0.842055432,4.42E-99
553,0.842092011,4.26E-99
553.5,0.842125335,4.11E-99
554,0.842155373,3.98E-99
554.5,0.842182149,3.87E-99
555,0.84220576,3.78E-99
555.5,0.842226224,3.70E-99
556,0.842243635,3.63E-99
556.5,0.842258005,3.57E-99
557,0.842269318,3.53E-99
557.5,0.842277679,3.50E-99
558,0.842283083,3.48E-99
558.5,0.842285539,3.47E-99
559,0.842285013,3.47E-99
559.5,0.842281624,3.49E-99
560,0.842275296,3.51E-99
560.5,0.842266085,3.54E-99
561,0.842253995,3.59E-99
561.5,0.842239018,3.65E-99
562,0.842221153,3.72E-99
562.5,0.842200329,3.80E-99
563,0.842176597,3.89E-99
563.5,0.842149798,4.00E-99
564,0.842120046,4.13E-99
564.5,0.842087206,4.28E-99
565,0.842051277,4.44E-99
565.5,0.842012234,4.63E-99
566,0.841970175,4.84E-99
566.5,0.841925037,5.07E-99
567,0.841876917,5.33E-99
567.5,0.84182582,5.62E-99
568,0.841771747,5.95E-99
568.5,0.841714786,6.32E-99
569,0.841654892,6.73E-99
569.5,0.841592104,7.18E-99
570,0.841526406,7.69E-99
570.5,0.841457758,8.27E-99
571,0.841386182,8.91E-99
571.5,0.841311654,9.63E-99
572,0.841234134,1.04E-98
