"env","cor"
"19CS",0.625535494059771
"19TA",0.722450756528699
"20CS",0.706322494750814
"20LY",0.632114235504476
"19CS",0.644379786495185
"19TA",0.574123419068168
"20CS",0.760415714900824
"20LY",0.766209093020245
"19CS",0.593658805206412
"19TA",0.630039997997704
"20CS",0.829436403750594
"20LY",0.67058916516704
"19CS",0.644204144454861
"19TA",0.536069158737923
"20CS",0.812122669211964
"20LY",0.647308659857744
"19CS",0.713560012160414
"19TA",0.695087017639889
"20CS",0.745536580862389
"20LY",0.724193369558583
