"env","cor"
"19CS",0.468473641398547
"19TA",0.385366933134362
"20CS",0.509330287469782
"20LY",0.405026401918047
"19CS",0.512335003217785
"19TA",0.20364887282694
"20CS",0.601310551483959
"20LY",0.391378591653191
"19CS",0.550844519590999
"19TA",0.529034449006152
"20CS",0.622347697388334
"20LY",0.478436322727312
"19CS",0.514254058826108
"19TA",0.323227450260744
"20CS",0.607380107667515
"20LY",0.594344090759145
"19CS",0.574077180147022
"19TA",0.303698643909816
"20CS",0.630917523311095
"20LY",0.552751612272449
