"env","cor"
"19CS",0.256030455774469
"19TA",0.373340937298305
"20CS",0.505476363377177
"20LY",0.34515586724353
"19CS",0.249777629143715
"19TA",0.60838863891242
"20CS",0.558473381404872
"20LY",0.377671641805137
"19CS",0.252034844379304
"19TA",0.253813171161168
"20CS",0.338672142350825
"20LY",0.301793594349735
"19CS",0.286842434595351
"19TA",0.593463452161906
"20CS",0.392113573974799
"20LY",0.539244555376474
"19CS",0.272782263783869
"19TA",0.476777075500309
"20CS",0.48807988679931
"20LY",0.332148111593373
