"env","cor"
"19CS",0.651372993635949
"19TA",0.763006938947234
"20CS",0.754431730331651
"20LY",0.511079519424689
"19CS",0.68100476453518
"19TA",0.49763776194161
"20CS",0.720371308281235
"20LY",0.588773606851129
"19CS",0.640580009137256
"19TA",0.672967193550168
"20CS",0.791408007956194
"20LY",0.64605079256518
"19CS",0.649017783838434
"19TA",0.691428608192537
"20CS",0.798727320954526
"20LY",0.631138006932023
"19CS",0.705496242075351
"19TA",0.689564748272374
"20CS",0.831396428321594
"20LY",0.549824723990353
