"env","cor"
"19CS",0.490405419784387
"19TA",0.510377911220451
"20CS",0.663419612116141
"20LY",0.583378717222255
"19CS",0.516533595975896
"19TA",0.601184520780527
"20CS",0.497166970581132
"20LY",0.601100675456314
"19CS",0.52025290509943
"19TA",0.602764063135109
"20CS",0.404595410857932
"20LY",0.652025105353222
"19CS",0.600469004932207
"19TA",0.569986734504452
"20CS",0.592146698106223
"20LY",0.709249012657988
"19CS",0.421081770458615
"19TA",0.428223469184662
"20CS",0.522104705367927
"20LY",0.405795820530131
