"env","cor"
"19CS",0.508574621951665
"19TA",0.396142116422472
"20CS",0.53136608228916
"20LY",0.535325696833857
"19CS",0.391612961972713
"19TA",0.231568358675708
"20CS",0.506754508249137
"20LY",0.422261861224186
"19CS",0.489486527857329
"19TA",0.605512293040623
"20CS",0.583350963970487
"20LY",0.245255870781799
"19CS",0.435466204379958
"19TA",0.353659751233392
"20CS",0.415996018017622
"20LY",0.514084418693872
"19CS",0.578080974269628
"19TA",0.422678442701078
"20CS",0.669820182266989
"20LY",0.495632514985474
