"env","cor"
"19CS",0.579553787188688
"19TA",0.531899402302408
"20CS",0.541462132528247
"20LY",0.48570579401977
"19CS",0.575851832877613
"19TA",0.520369098919407
"20CS",0.632598049633232
"20LY",0.444032071334988
"19CS",0.591975174773308
"19TA",0.531323918233063
"20CS",0.677821178134532
"20LY",0.423733760177202
"19CS",0.515932683258138
"19TA",0.467698986313999
"20CS",0.599058975822856
"20LY",0.50715892445465
"19CS",0.519616233829539
"19TA",0.505415565931546
"20CS",0.506693569740681
"20LY",0.307807149830673
