"env","cor"
"19CS",0.37088540755617
"19TA",0.555971889852477
"20CS",0.469750900723162
"20LY",0.373408555907718
"19CS",0.356001455418859
"19TA",0.465613461117678
"20CS",0.519435253915457
"20LY",0.305854222297184
"19CS",0.307445148193687
"19TA",0.553824416297053
"20CS",0.43245658832023
"20LY",0.1687463381593
"19CS",0.381483694658468
"19TA",0.513871721757302
"20CS",0.442965192286634
"20LY",0.398765297192659
"19CS",0.295690531103563
"19TA",0.656520368620199
"20CS",0.46439418010024
"20LY",0.270808903852317
